vehicleId,tripDuration,totalWaitingTime
ewtl.0,57.0,6.0
ewtr.0,72.0,5.0
sntr.0,84.0,22.0
nstl.0,86.0,37.0
sn.0,94.0,28.0
ew.0,95.0,10.0
ew.1,87.0,5.0
ew.2,80.0,0.0
ew.3,74.0,0.0
sn_bus.0,91.0,16.0
sn.1,89.0,16.0
sntr.1,62.0,0.0
sn.2,81.0,10.0
ns.0,109.0,39.0
sn.3,74.0,0.0
nstl.1,80.0,26.0
sn.4,65.0,0.0
nstl.2,59.0,5.0
ns.1,106.0,26.0
ns.2,96.0,23.0
ns.3,85.0,12.0
ns.4,75.0,2.0
nstr.0,125.0,35.0
we.0,128.0,37.0
ewtl.1,92.0,43.0
we.1,113.0,29.0
nstr.1,105.0,14.0
ewtl.2,58.0,9.0
nstr.2,83.0,0.0
sntl.0,138.0,34.0
sntl.1,104.0,7.0
wetl.0,137.0,34.0
wetl.1,120.0,15.0
wetl.2,98.0,0.0
ewtr.1,108.0,42.0
wetr.0,154.0,56.0
we.2,121.0,23.0
ewtl.3,46.0,0.0
ewtr.2,82.0,12.0
ew.4,125.0,45.0
wetr.1,137.0,41.0
we.3,107.0,14.0
wetr.2,115.0,20.0
we.4,92.0,0.0
ew.5,128.0,39.0
ew.6,120.0,32.0
ew.7,113.0,24.0
ew.8,106.0,16.0
wetr.3,103.0,0.0
ew.9,100.0,12.0
ew.10,91.0,3.0
wetl.3,107.0,0.0
sntr.2,111.0,42.0
ew.11,92.0,0.0
sn.5,131.0,57.0
sntr.3,78.0,18.0
ew.12,83.0,0.0
sn.6,121.0,51.0
sn.7,110.0,41.0
ewtr.3,78.0,4.0
ew.13,76.0,0.0
sn.8,102.0,29.0
ew.14,73.0,0.0
sn.9,94.0,15.0
sn.10,83.0,15.0
nstl.3,126.0,69.0
sn.11,73.0,1.0
sntr.4,56.0,0.0
sn.12,63.0,0.0
ns.5,147.0,66.0
ns.6,137.0,60.0
nstl.4,107.0,49.0
ns.7,126.0,57.0
ns.8,116.0,44.0
nstr.3,140.0,61.0
nstr.4,118.0,39.0
sn.13,63.0,0.0
ns.9,113.0,42.0
nstl.5,95.0,24.0
ns.10,103.0,32.0
nstl.6,73.0,5.0
nstr.5,101.0,13.0
nstr.6,79.0,0.0
sn.14,58.0,0.0
nstl.7,53.0,0.0
sntl.2,153.0,58.0
sntl.3,118.0,24.0
ns.11,98.0,19.0
ns.12,92.0,9.0
ns.13,82.0,6.0
ns.14,71.0,1.0
ns.15,61.0,0.0
ewtl.4,99.0,51.0
we.5,156.0,60.0
we.6,140.0,57.0
sntl.4,103.0,3.0
we.7,122.0,19.0
nstr.7,81.0,0.0
we.8,111.0,17.0
wetr.4,158.0,59.0
wetl.4,161.0,56.0
ewtl.5,83.0,28.0
we.9,104.0,19.0
wetr.5,151.0,47.0
ewtl.6,53.0,0.0
wetr.6,132.0,27.0
