vehicleId,tripDuration,totalWaitingTime
ewtl.0,57.00,6
ewtr.0,72.00,6
sntr.0,84.00,22
ew.0,94.00,10
sn.0,94.00,26
ew.1,78.00,0
nstl.0,91.00,40
sn_bus.0,90.00,16
ns.0,109.00,39
we.0,125.00,35
ewtl.1,87.00,39
nstr.0,124.00,36
we.1,118.00,32
ewtl.2,54.00,5
sntl.0,127.00,23
we.2,114.00,16
we.3,104.00,14
wetr.0,135.00,38
wetl.0,133.00,32
we.4,104.00,11
wetl.1,114.00,12
wetr.1,118.00,16
we.5,97.00,5
wetl.2,95.00,0
wetr.2,100.00,2
we.6,94.00,0
ewtl.3,39.00,0
we.7,87.00,0
we.8,79.00,0
ewtr.1,109.00,41
ew.2,123.00,43
wetr.3,85.00,0
ew.3,107.00,29
ew.4,94.00,12
sntr.1,88.00,33
sn.1,99.00,34
nstl.1,94.00,40
ewtr.2,97.00,19
ewtr.3,64.00,0
ew.5,93.00,0
ew.6,77.00,0
ns.1,117.00,43
nstr.1,126.00,42
we.9,120.00,38
ewtl.4,55.00,5
we.10,116.00,23
we.11,105.00,18
we.12,101.00,17
wetr.4,114.00,21
sntl.1,136.00,26
we.13,97.00,1
we.14,89.00,0
we.15,83.00,0
we.16,76.00,0
wetl.3,142.00,40
wetl.4,126.00,15
wetr.5,105.00,0
ewtl.5,44.00,0
wetl.5,106.00,0
wetr.6,83.00,0
ew.7,105.00,32
ewtr.4,84.00,9
ewtr.5,55.00,0
sntr.2,95.00,29
ew.8,102.00,12
nstl.2,97.00,46
ew_bus.0,90.00,1
ew.9,88.00,1
sn.2,108.00,30
ns.2,118.00,50
nstl.3,47.00,0
ew.10,93.00,0
nstr.2,129.00,48
ns.3,59.00,0
sntl.2,131.00,38
we.17,127.00,47
we.18,124.00,32
we.19,113.00,30
ewtl.6,65.00,10
we.20,110.00,23
we.21,103.00,17
ewtl.7,39.00,0
nstr.3,79.00,0
wetr.7,130.00,38
wetl.6,150.00,48
wetl.7,130.00,29
we.22,104.00,4
wetl.8,108.00,0
we.23,97.00,2
we.24,89.00,1
wetr.8,115.00,4
we.25,82.00,0
wetr.9,90.00,0
we.26,75.00,0
ewtr.6,86.00,20
wetl.9,94.00,0
wetr.10,79.00,0
ewtr.7,68.00,10
sntr.3,106.00,47
sn.3,117.00,49
nstl.4,45.00,0
ns.4,56.00,0
ew.11,149.00,31
ew.12,129.00,18
ew.13,116.00,8
ew.14,100.00,0
ew.15,84.00,0
we.27,110.00,36
we.28,110.00,27
we.29,104.00,23
ewtl.8,70.00,23
we.30,98.00,11
sntl.3,150.00,42
nstr.4,80.00,0
we.31,92.00,8
ewtl.9,45.00,0
we.32,86.00,0
wetl.10,132.00,40
wetr.11,114.00,12
wetl.11,111.00,6
we.33,82.00,0
we.34,76.00,0
ewtr.8,86.00,23
wetr.12,98.00,0
sntl.4,102.00,0
ewtr.9,63.00,0
ew.16,103.00,26
wetl.12,102.00,0
sntr.4,108.00,46
sn.4,119.00,49
sntr_bus.0,107.00,40
ew.17,100.00,10
ew.18,87.00,0
nstl.5,48.00,0
ew.19,75.00,0
ns.5,63.00,0
sn.5,69.00,0
ewtl.10,78.00,31
we.35,125.00,37
we.36,121.00,35
ewtl.11,48.00,0
we.37,114.00,34
nstr.5,88.00,0
we.38,113.00,23
wetl.13,141.00,39
sntl.5,94.00,0
we.39,105.00,17
wetr.13,146.00,48
we.40,99.00,6
wetr.14,124.00,33
wetl.14,121.00,21
we.41,90.00,0
wetr.15,100.00,5
ewtr.10,95.00,33
we.42,88.00,0
we.43,79.00,0
wetr.16,87.00,0
ew.20,113.00,37
wetl.15,109.00,0
wetl.16,90.00,0
ew.21,103.00,21
ewtr.11,83.00,14
ew.22,90.00,3
sntr.5,124.00,48
nstl.6,55.00,3
sn.6,61.00,0
ew.23,83.00,0
sntr.6,61.00,0
ns.6,72.00,4
ewtl.12,85.00,39
we.44,124.00,42
we.45,117.00,40
ewtl.13,51.00,7
we.46,108.00,22
we.47,105.00,21
we.48,99.00,13
we.49,91.00,9
nstr.6,98.00,0
we.50,83.00,3
sntl.6,100.00,0
wetr.17,124.00,33
we_bus.0,80.00,0
wetr.18,103.00,13
wetl.17,128.00,17
we.51,76.00,0
wetl.18,105.00,4
we.52,75.00,0
wetr.19,84.00,0
wetl.19,88.00,0
ewtl.14,52.00,0
ewtr.12,128.00,53
ewtr.13,93.00,18
sntr.7,61.00,0
sn.7,68.00,7
ew.24,141.00,40
ewtr.14,63.00,0
nstl.7,63.00,11
ew.25,124.00,27
ew.26,107.00,13
ns.7,79.00,16
ew.27,105.00,10
ew.28,89.00,0
we.53,129.00,34
nstr.7,100.00,10
sntl.7,101.00,2
ewtl.15,64.00,12
we.54,120.00,27
we.55,114.00,26
wetr.20,132.00,34
we.56,109.00,25
we.57,101.00,19
wetr.21,112.00,19
we.58,98.00,3
ewtl.16,42.00,0
wetr.22,95.00,2
wetl.20,140.00,25
wetl.21,118.00,12
we.59,91.00,0
wetl.22,95.00,0
we.60,89.00,0
ewtr.15,90.00,23
ewtr.16,62.00,0
sntr.8,66.00,0
nstl.8,67.00,16
sn.8,76.00,3
ew.29,133.00,34
ew.30,117.00,19
ew.31,101.00,6
ew.32,84.00,0
ns.8,91.00,19
nstr.8,100.00,17
ewtl.17,64.00,17
we.61,133.00,39
we.62,126.00,37
we.63,118.00,34
sntl.8,109.00,2
we.64,113.00,22
wetl.23,138.00,38
ewtl.18,41.00,0
wetl.24,112.00,15
we.65,110.00,19
wetl.25,93.00,0
we.66,104.00,18
wetr.23,149.00,47
we.67,94.00,3
wetr.24,124.00,21
we.68,92.00,3
we.69,84.00,0
ew.33,114.00,44
wetr.25,110.00,6
we.70,81.00,0
ewtr.17,92.00,19
wetr.26,90.00,0
wetl.26,91.00,0
ew.34,111.00,20
ew.35,96.00,9
ewtr.18,72.00,12
ew.36,79.00,0
sntr.9,75.00,14
nstl.9,79.00,26
sn.9,86.00,18
ew.37,76.00,0
ns.9,100.00,30
we.71,126.00,38
nstr.9,115.00,29
we.72,119.00,29
we.73,108.00,27
sntl.9,118.00,16
ewtl.19,81.00,28
ewtl.20,48.00,0
we.74,106.00,16
we.75,95.00,11
wetr.27,126.00,29
we.76,95.00,3
wetr.28,108.00,13
we.77,88.00,0
wetl.27,127.00,25
wetl.28,109.00,6
wetr.29,100.00,0
sntr.10,71.00,0
ewtr.19,103.00,39
ew.38,114.00,34
ewtr.20,79.00,9
ew.39,102.00,15
nstl.10,82.00,24
ew.40,89.00,3
sn.10,91.00,1
ns.10,92.00,29
sn_bus.1,83.00,0
nstr.10,103.00,26
we.78,128.00,38
we.79,123.00,35
ewtl.21,77.00,27
we.80,116.00,30
sntl.10,114.00,11
we.81,106.00,22
ewtl.22,42.00,0
we.82,101.00,22
we.83,93.00,0
wetl.29,145.00,40
we.84,91.00,0
wetr.30,122.00,23
we.85,85.00,0
