vehicleId,tripDuration,totalWaitingTime
ewtl.0,57.0,6.0
ewtr.0,72.0,6.0
sntr.0,84.0,22.0
ew.0,94.0,10.0
sn.0,94.0,26.0
ew.1,78.0,0.0
nstl.0,91.0,40.0
sn_bus.0,90.0,16.0
ns.0,109.0,39.0
we.0,125.0,35.0
ewtl.1,87.0,39.0
nstr.0,124.0,36.0
we.1,118.0,32.0
ewtl.2,54.0,5.0
sntl.0,127.0,23.0
we.2,114.0,16.0
we.3,104.0,14.0
wetr.0,135.0,38.0
wetl.0,133.0,32.0
we.4,104.0,11.0
wetl.1,114.0,12.0
wetr.1,118.0,16.0
we.5,97.0,5.0
wetl.2,95.0,0.0
wetr.2,100.0,2.0
we.6,94.0,0.0
ewtl.3,39.0,0.0
we.7,87.0,0.0
we.8,79.0,0.0
ewtr.1,109.0,41.0
ew.2,123.0,43.0
wetr.3,85.0,0.0
ew.3,107.0,29.0
ew.4,94.0,12.0
sntr.1,88.0,33.0
sn.1,99.0,34.0
nstl.1,94.0,40.0
ewtr.2,97.0,19.0
ewtr.3,64.0,0.0
ew.5,93.0,0.0
ew.6,77.0,0.0
ns.1,117.0,43.0
nstr.1,126.0,42.0
we.9,120.0,38.0
ewtl.4,55.0,5.0
we.10,116.0,23.0
we.11,105.0,18.0
we.12,101.0,17.0
wetr.4,114.0,21.0
sntl.1,136.0,26.0
we.13,97.0,1.0
we.14,89.0,0.0
we.15,83.0,0.0
we.16,76.0,0.0
wetl.3,142.0,40.0
wetl.4,126.0,15.0
wetr.5,105.0,0.0
ewtl.5,44.0,0.0
wetl.5,106.0,0.0
wetr.6,83.0,0.0
ew.7,105.0,32.0
ewtr.4,84.0,9.0
ewtr.5,55.0,0.0
sntr.2,95.0,29.0
ew.8,102.0,12.0
nstl.2,97.0,46.0
ew_bus.0,90.0,1.0
ew.9,88.0,1.0
sn.2,108.0,30.0
ns.2,118.0,50.0
nstl.3,47.0,0.0
ew.10,93.0,0.0
nstr.2,129.0,48.0
ns.3,59.0,0.0
sntl.2,131.0,38.0
we.17,127.0,47.0
we.18,124.0,32.0
we.19,113.0,30.0
ewtl.6,65.0,10.0
we.20,110.0,23.0
we.21,103.0,17.0
ewtl.7,39.0,0.0
nstr.3,79.0,0.0
wetr.7,130.0,38.0
wetl.6,150.0,48.0
wetl.7,130.0,29.0
we.22,104.0,4.0
wetl.8,108.0,0.0
we.23,97.0,2.0
we.24,89.0,1.0
wetr.8,115.0,4.0
we.25,82.0,0.0
wetr.9,90.0,0.0
we.26,75.0,0.0
ewtr.6,86.0,20.0
wetl.9,94.0,0.0
wetr.10,79.0,0.0
ewtr.7,68.0,10.0
sntr.3,106.0,47.0
sn.3,117.0,49.0
nstl.4,45.0,0.0
ns.4,56.0,0.0
ew.11,149.0,31.0
ew.12,129.0,18.0
ew.13,116.0,8.0
ew.14,100.0,0.0
ew.15,84.0,0.0
we.27,110.0,36.0
we.28,110.0,27.0
we.29,104.0,23.0
ewtl.8,70.0,23.0
we.30,98.0,11.0
sntl.3,150.0,42.0
nstr.4,80.0,0.0
we.31,92.0,8.0
ewtl.9,45.0,0.0
we.32,86.0,0.0
wetl.10,132.0,40.0
wetr.11,114.0,12.0
wetl.11,111.0,6.0
we.33,82.0,0.0
we.34,76.0,0.0
ewtr.8,86.0,23.0
wetr.12,98.0,0.0
sntl.4,102.0,0.0
ewtr.9,63.0,0.0
ew.16,103.0,26.0
wetl.12,102.0,0.0
sntr.4,108.0,46.0
sn.4,119.0,49.0
sntr_bus.0,107.0,40.0
ew.17,100.0,10.0
ew.18,87.0,0.0
nstl.5,48.0,0.0
ew.19,75.0,0.0
ns.5,63.0,0.0
sn.5,69.0,0.0
ewtl.10,78.0,31.0
