vehicleId,tripDuration,totalWaitingTime
nstl.0,42.0,0.0
ewtl.0,58.0,7.0
ns.0,65.0,0.0
ewtr.0,72.0,7.0
sntr.0,77.0,14.0
nstr.0,83.0,0.0
sn.0,86.0,18.0
sn_bus.0,82.0,8.0
ew.0,96.0,11.0
ew.1,79.0,0.0
sntl.0,116.0,15.0
we.0,128.0,38.0
ewtl.1,90.0,43.0
we.1,121.0,34.0
ewtl.2,57.0,8.0
we.2,117.0,20.0
we.3,107.0,17.0
ns.1,68.0,0.0
wetr.0,138.0,38.0
wetl.0,136.0,35.0
we.4,107.0,14.0
wetl.1,117.0,15.0
we.5,99.0,7.0
wetl.2,96.0,0.0
wetr.1,123.0,23.0
ewtl.3,39.0,0.0
we.6,96.0,0.0
nstr.1,76.0,0.0
we.7,89.0,0.0
ewtr.1,111.0,44.0
we.8,82.0,0.0
wetr.2,108.0,8.0
we.9,77.0,0.0
ew.2,126.0,46.0
wetr.3,87.0,0.0
ew.3,110.0,32.0
ew.4,95.0,15.0
ewtr.2,99.0,23.0
wetl.3,101.0,0.0
we.10,89.0,0.0
we.11,79.0,0.0
wetr.4,85.0,0.0
ew.5,93.0,0.0
ew.6,77.0,0.0
ewtr.3,71.0,2.0
sntr.1,112.0,56.0
sn.1,123.0,58.0
nstl.1,118.0,64.0
nstl.2,47.0,0.0
ew.7,69.0,0.0
wetl.4,105.0,0.0
ns.2,68.0,0.0
we.12,108.0,25.0
sn.2,73.0,0.0
nstr.2,73.0,0.0
ewtl.4,74.0,24.0
we.13,102.0,7.0
we.14,95.0,2.0
we.15,91.0,1.0
ewtl.5,42.0,0.0
we.16,83.0,0.0
we.17,78.0,0.0
wetl.5,110.0,0.0
sntl.1,164.0,51.0
wetr.5,118.0,10.0
sntl.2,94.0,0.0
wetr.6,95.0,0.0
we.18,87.0,0.0
ewtr.4,102.0,28.0
we.19,79.0,0.0
wetl.6,103.0,0.0
wetr.7,86.0,0.0
ewtr.5,66.0,2.0
ew.8,116.0,26.0
ew_bus.0,107.0,17.0
wetl.7,90.0,0.0
sntr.2,111.0,48.0
ew.9,101.0,15.0
nstl.3,48.0,0.0
sntr.3,52.0,0.0
ns.3,59.0,0.0
ew.10,95.0,0.0
sn.3,63.0,0.0
we.20,107.0,22.0
we.21,100.0,15.0
ewtl.6,74.0,21.0
ewtl.7,40.0,0.0
we.22,97.0,0.0
we.23,90.0,0.0
we.24,83.0,0.0
we.25,75.0,0.0
wetl.8,107.0,0.0
we.26,72.0,0.0
wetr.8,115.0,5.0
wetr.9,88.0,0.0
ew.11,116.0,0.0
nstr.3,96.0,0.0
wetl.9,93.0,0.0
we.27,70.0,0.0
sntl.3,102.0,0.0
ewtr.6,98.0,32.0
wetr.10,81.0,0.0
ew.12,107.0,27.0
ew.13,91.0,13.0
ewtr.7,66.0,5.0
ew.14,74.0,0.0
wetl.10,88.0,0.0
ew.15,69.0,0.0
nstl.4,45.0,0.0
ns.4,56.0,0.0
sn.4,64.0,0.0
we.28,104.0,21.0
we.29,97.0,16.0
ewtl.8,69.0,20.0
