vehicleId,tripDuration,totalWaitingTime
nstl.0,42.0,0.0
ns.0,65.0,0.0
ewtl.0,67.0,16.0
ewtl.1,40.0,0.0
we.0,85.0,0.0
nstr.0,83.0,0.0
we.1,78.0,0.0
ewtr.0,82.0,16.0
wetr.0,89.0,0.0
wetl.0,96.0,0.0
ew.0,105.0,20.0
ew.1,89.0,7.0
ewtr.1,66.0,4.0
ew.2,74.0,0.0
sntr.0,104.0,42.0
sn.0,113.0,46.0
sn_bus.0,111.0,36.0
ew.3,68.0,0.0
nstl.1,47.0,0.0
sntr.1,49.0,0.0
sn.1,59.0,0.0
ns.1,68.0,0.0
sntl.0,144.0,43.0
nstr.1,77.0,0.0
we.2,138.0,41.0
ewtl.2,82.0,33.0
we.3,128.0,41.0
ewtl.3,48.0,2.0
we.4,124.0,36.0
we.5,117.0,29.0
wetl.1,141.0,41.0
wetr.1,145.0,45.0
we.6,115.0,18.0
wetr.2,122.0,27.0
we.7,108.0,15.0
we.8,100.0,14.0
wetl.2,122.0,21.0
we.9,93.0,4.0
wetl.3,98.0,0.0
sntl.1,102.0,0.0
we.10,89.0,0.0
wetr.3,105.0,9.0
wetr.4,86.0,0.0
ewtr.2,109.0,36.0
ew.4,117.0,35.0
nstl.2,48.0,1.0
ew.5,113.0,20.0
ewtr.3,89.0,11.0
ew.6,96.0,5.0
ew.7,79.0,0.0
sntr.2,59.0,0.0
ns.2,72.0,3.0
sn.2,72.0,0.0
nstr.2,82.0,3.0
sntl.2,89.0,0.0
we.11,137.0,53.0
we.12,133.0,52.0
ewtl.4,100.0,49.0
we.13,131.0,37.0
ewtl.5,66.0,14.0
we.14,122.0,28.0
we.15,117.0,26.0
we.16,110.0,26.0
we.17,102.0,16.0
wetl.4,163.0,53.0
we.18,101.0,5.0
wetl.5,139.0,25.0
wetr.5,143.0,34.0
wetl.6,114.0,7.0
wetl.7,96.0,0.0
ewtl.6,48.0,0.0
wetr.6,125.0,31.0
wetr.7,106.0,7.0
ewtr.4,131.0,54.0
ewtr.5,96.0,23.0
ewtr.6,62.0,0.0
ew.8,141.0,49.0
sntr.3,63.0,4.0
ew_bus.0,132.0,43.0
ew.9,126.0,40.0
sn.3,75.0,6.0
nstl.3,69.0,14.0
ns.3,84.0,20.0
ew.10,122.0,20.0
we.19,154.0,57.0
ew.11,131.0,2.0
ew.12,115.0,0.0
ewtl.7,74.0,28.0
we.20,152.0,53.0
nstr.3,114.0,17.0
we.21,145.0,53.0
sntl.3,116.0,2.0
ewtl.8,44.0,0.0
we.22,143.0,47.0
we.23,135.0,44.0
we.24,128.0,43.0
wetl.8,150.0,42.0
we.25,121.0,36.0
we.26,111.0,28.0
wetl.9,126.0,27.0
we.27,104.0,24.0
wetl.10,107.0,8.0
wetr.8,158.0,49.0
ewtr.7,91.0,29.0
wetr.9,133.0,42.0
we.28,102.0,13.0
we.29,94.0,8.0
wetr.10,116.0,25.0
ew.13,129.0,52.0
ew.14,111.0,33.0
ew.15,97.0,19.0
wetr.11,103.0,1.0
ew.16,80.0,3.0
wetl.11,104.0,0.0
sntr.4,80.0,18.0
ewtr.8,81.0,16.0
sn.4,91.0,22.0
sntr_bus.0,79.0,11.0
nstl.4,89.0,35.0
ns.4,99.0,36.0
ew.17,86.0,0.0
nstr.4,116.0,32.0
we.30,146.0,52.0
sntl.4,127.0,18.0
we.31,140.0,51.0
ewtl.9,94.0,43.0
ewtl.10,60.0,10.0
we.32,135.0,46.0
we.33,129.0,37.0
we.34,121.0,36.0
wetr.12,143.0,39.0
we.35,116.0,24.0
wetl.12,140.0,34.0
we.36,112.0,23.0
wetl.13,121.0,16.0
we.37,102.0,23.0
wetr.13,126.0,26.0
wetl.14,98.0,0.0
we.38,96.0,8.0
we.39,91.0,6.0
ewtl.11,45.0,0.0
we.40,84.0,0.0
wetr.14,108.0,19.0
wetr.15,80.0,0.0
ewtr.9,115.0,49.0
ew.18,128.0,49.0
ew.19,114.0,35.0
ew.20,98.0,19.0
ewtr.10,95.0,30.0
ewtr.11,64.0,3.0
sntr.5,101.0,25.0
sn.5,108.0,35.0
nstl.5,102.0,46.0
ew.21,92.0,4.0
ew.22,80.0,0.0
nstl.6,39.0,0.0
ns.5,120.0,52.0
ns.6,61.0,0.0
sn.6,61.0,0.0
nstr.5,140.0,47.0
we.41,130.0,42.0
sntl.5,142.0,36.0
ewtl.12,64.0,18.0
ewtl.13,37.0,0.0
we.42,131.0,42.0
we.43,119.0,39.0
we.44,117.0,32.0
we.45,109.0,31.0
we.46,104.0,14.0
wetr.16,135.0,43.0
we.47,97.0,13.0
we.48,91.0,3.0
wetr.17,116.0,26.0
we.49,84.0,2.0
we.50,75.0,0.0
wetl.15,157.0,42.0
wetl.16,142.0,39.0
wetr.18,95.0,3.0
wetl.17,120.0,8.0
nstr.6,98.0,0.0
wetl.18,95.0,0.0
sntl.6,99.0,0.0
ewtr.12,97.0,21.0
ew.23,131.0,42.0
sntr.6,112.0,46.0
ewtr.13,79.0,9.0
nstl.7,43.0,0.0
sn.7,54.0,0.0
ew.24,123.0,20.0
ns.7,57.0,0.0
ew.25,112.0,13.0
ew.26,95.0,0.0
sntr.7,57.0,0.0
ew.27,86.0,0.0
nstr.7,81.0,0.0
we_bus.0,139.0,50.0
sntl.7,91.0,0.0
we.51,132.0,47.0
we.52,130.0,45.0
ewtl.14,95.0,39.0
ewtl.15,61.0,6.0
wetl.19,142.0,48.0
wetr.19,145.0,50.0
we.53,130.0,31.0
we.54,124.0,28.0
wetr.20,131.0,30.0
we.55,117.0,26.0
we.56,109.0,25.0
we.57,101.0,14.0
wetl.20,136.0,19.0
wetr.21,112.0,15.0
wetl.21,110.0,1.0
we.58,99.0,0.0
ewtl.16,43.0,0.0
ew.28,119.0,45.0
wetr.22,96.0,0.0
ewtr.14,114.0,44.0
wetl.22,103.0,0.0
ewtr.15,94.0,24.0
sntr.8,59.0,0.0
sn.8,67.0,0.0
ewtr.16,62.0,0.0
nstl.8,62.0,9.0
ew.29,122.0,22.0
ew.30,111.0,12.0
ew.31,95.0,3.0
ew.32,80.0,0.0
ns.8,82.0,9.0
nstr.8,92.0,10.0
sntl.8,99.0,0.0
ewtl.17,65.0,18.0
we.59,147.0,52.0
we.60,145.0,51.0
we.61,139.0,44.0
we.62,127.0,40.0
we.63,124.0,40.0
ewtl.18,42.0,0.0
wetl.23,139.0,39.0
we.64,119.0,28.0
wetl.24,114.0,15.0
wetl.25,94.0,0.0
we.65,112.0,25.0
we.66,105.0,23.0
wetr.23,148.0,45.0
wetr.24,123.0,26.0
we.67,96.0,9.0
we.68,92.0,7.0
we.69,83.0,0.0
ewtr.17,88.0,17.0
ew.33,117.0,43.0
wetr.25,111.0,12.0
ewtr.18,57.0,0.0
wetr.26,88.0,0.0
wetl.26,94.0,0.0
sntr.9,71.0,12.0
ew.34,112.0,23.0
ew.35,98.0,10.0
nstl.9,75.0,21.0
ew.36,82.0,0.0
sn.9,82.0,15.0
ew.37,76.0,0.0
ns.9,96.0,26.0
nstr.9,110.0,23.0
sntl.9,113.0,12.0
we.70,137.0,53.0
we.71,134.0,44.0
we.72,126.0,35.0
ewtl.19,85.0,33.0
ewtl.20,52.0,3.0
we.73,118.0,34.0
wetr.27,128.0,34.0
we.74,116.0,25.0
we.75,105.0,18.0
we.76,104.0,10.0
wetl.27,132.0,29.0
we.77,96.0,5.0
wetr.28,118.0,22.0
wetl.28,115.0,9.0
we.78,90.0,0.0
we.79,85.0,0.0
wetl.29,99.0,0.0
wetr.29,105.0,0.0
ew.38,120.0,40.0
ewtr.19,112.0,49.0
sntr.10,87.0,17.0
ew.39,108.0,21.0
ew.40,95.0,10.0
ewtr.20,90.0,12.0
nstl.10,99.0,40.0
ns.10,108.0,43.0
sn.10,108.0,18.0
sn_bus.1,100.0,16.0
ew.41,99.0,9.0
nstr.10,119.0,43.0
nstl.11,47.0,0.0
sntl.10,130.0,28.0
we.80,138.0,54.0
we.81,127.0,45.0
we.82,124.0,44.0
ns.11,71.0,0.0
ewtl.21,104.0,52.0
ewtl.22,68.0,19.0
we.83,117.0,20.0
we.84,115.0,19.0
wetr.30,150.0,53.0
wetl.30,146.0,44.0
we.85,111.0,15.0
wetl.31,131.0,16.0
wetl.32,108.0,5.0
ewtr.21,120.0,57.0
we.86,108.0,12.0
we.87,101.0,9.0
ewtl.23,56.0,0.0
sntl.11,93.0,0.0
wetr.31,146.0,28.0
ew.42,136.0,57.0
wetr.32,124.0,13.0
ew.43,117.0,40.0
ew.44,109.0,25.0
sn.11,112.0,50.0
ew.45,95.0,11.0
sntr.11,107.0,38.0
ew.46,78.0,0.0
ewtr.22,110.0,20.0
wetl.33,112.0,0.0
ewtr.23,78.0,6.0
nstl.12,46.0,0.0
sn.12,62.0,0.0
ns.12,63.0,0.0
nstr.11,149.0,55.0
we.88,153.0,57.0
we.89,149.0,53.0
ewtl.24,84.0,31.0
we.90,142.0,52.0
nstr.12,86.0,0.0
ewtl.25,50.0,0.0
we.91,132.0,43.0
we.92,129.0,42.0
wetr.33,163.0,53.0
we.93,122.0,38.0
wetl.34,141.0,38.0
we.94,115.0,34.0
wetl.35,118.0,22.0
sntl.12,99.0,0.0
we.95,113.0,19.0
we.96,106.0,18.0
wetr.34,154.0,48.0
wetr.35,130.0,38.0
wetr.36,106.0,17.0
wetl.36,110.0,0.0
ewtr.24,113.0,41.0
ewtr.25,84.0,10.0
sntr.12,120.0,53.0
ew.47,146.0,52.0
ew.48,130.0,39.0
nstl.13,52.0,0.0
ew_bus.1,119.0,26.0
sn.13,59.0,0.0
sntr.13,55.0,0.0
ew.49,114.0,24.0
ew.50,99.0,10.0
ew.51,83.0,0.0
ns.13,83.0,0.0
nstr.13,82.0,2.0
sntl.13,87.0,0.0
we.97,162.0,61.0
ewtl.26,97.0,51.0
we.98,155.0,55.0
ewtl.27,63.0,16.0
we.99,143.0,52.0
we.100,141.0,52.0
we.101,136.0,43.0
we.102,130.0,40.0
wetr.37,161.0,56.0
wetr.38,138.0,42.0
we.103,123.0,38.0
ewtl.28,41.0,0.0
we.104,116.0,28.0
wetl.37,160.0,52.0
we.105,110.0,17.0
wetl.38,141.0,33.0
we.106,103.0,17.0
wetl.39,116.0,6.0
wetr.39,123.0,19.0
ew.52,132.0,54.0
wetr.40,110.0,8.0
ewtr.26,135.0,62.0
sntr.14,64.0,2.0
wetl.40,116.0,10.0
sntr_bus.1,60.0,0.0
sn.14,73.0,7.0
ew.53,128.0,36.0
ew.54,111.0,20.0
nstl.14,70.0,15.0
ewtr.27,108.0,30.0
ewtr.28,74.0,1.0
ew.55,101.0,17.0
ew.56,90.0,6.0
ns.14,90.0,17.0
nstr.14,101.0,17.0
we.107,155.0,64.0
we.108,152.0,58.0
we.109,144.0,53.0
ewtl.29,74.0,25.0
ewtl.30,44.0,0.0
sntl.14,118.0,0.0
we.110,142.0,47.0
we.111,133.0,45.0
we.112,127.0,42.0
wetr.41,153.0,54.0
we.113,122.0,29.0
wetl.41,153.0,47.0
we.114,115.0,27.0
wetl.42,128.0,23.0
we.115,105.0,16.0
we.116,101.0,14.0
wetr.42,134.0,41.0
wetl.43,110.0,2.0
we.117,93.0,14.0
wetr.43,115.0,25.0
ewtr.29,97.0,21.0
wetr.44,100.0,8.0
ewtr.30,69.0,7.0
ew.57,131.0,51.0
ew.58,118.0,33.0
ew.59,103.0,20.0
sntr.15,81.0,15.0
ew.60,89.0,2.0
nstl.15,84.0,29.0
sn.15,93.0,17.0
ew.61,77.0,0.0
ns.15,101.0,36.0
nstr.15,128.0,31.0
we.118,149.0,54.0
sntl.15,130.0,18.0
we.119,142.0,51.0
