vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ewtl.0,58.00,7
ns.0,65.00,0
ewtr.0,72.00,7
sntr.0,77.00,14
nstr.0,83.00,0
sn.0,86.00,18
sn_bus.0,82.00,8
ew.0,96.00,11
ew.1,79.00,0
sntl.0,116.00,15
we.0,128.00,38
ewtl.1,90.00,43
we.1,121.00,34
ewtl.2,57.00,8
we.2,117.00,20
we.3,107.00,17
ns.1,68.00,0
wetr.0,138.00,38
wetl.0,136.00,35
we.4,107.00,14
wetl.1,117.00,15
we.5,99.00,7
wetl.2,96.00,0
wetr.1,123.00,23
ewtl.3,39.00,0
we.6,96.00,0
nstr.1,76.00,0
we.7,89.00,0
ewtr.1,111.00,44
we.8,82.00,0
wetr.2,108.00,8
we.9,77.00,0
ew.2,126.00,46
wetr.3,87.00,0
ew.3,110.00,32
ew.4,95.00,15
ewtr.2,99.00,23
wetl.3,101.00,0
we.10,89.00,0
we.11,79.00,0
wetr.4,85.00,0
ew.5,93.00,0
ew.6,77.00,0
ewtr.3,71.00,2
sntr.1,112.00,56
sn.1,123.00,58
nstl.1,118.00,64
nstl.2,47.00,0
ew.7,69.00,0
wetl.4,105.00,0
ns.2,68.00,0
we.12,108.00,25
sn.2,73.00,0
nstr.2,73.00,0
ewtl.4,74.00,24
we.13,102.00,7
we.14,95.00,2
we.15,91.00,1
ewtl.5,42.00,0
we.16,83.00,0
we.17,78.00,0
wetl.5,110.00,0
sntl.1,164.00,51
wetr.5,118.00,10
sntl.2,94.00,0
wetr.6,95.00,0
we.18,87.00,0
ewtr.4,102.00,28
we.19,79.00,0
wetl.6,103.00,0
wetr.7,86.00,0
ewtr.5,66.00,2
ew.8,116.00,26
ew_bus.0,107.00,17
wetl.7,90.00,0
sntr.2,111.00,48
ew.9,101.00,15
nstl.3,48.00,0
sntr.3,52.00,0
ns.3,59.00,0
ew.10,95.00,0
sn.3,63.00,0
we.20,107.00,22
we.21,100.00,15
ewtl.6,74.00,21
ewtl.7,40.00,0
we.22,97.00,0
we.23,90.00,0
we.24,83.00,0
we.25,75.00,0
wetl.8,107.00,0
we.26,72.00,0
wetr.8,115.00,5
wetr.9,88.00,0
ew.11,116.00,0
nstr.3,96.00,0
wetl.9,93.00,0
we.27,70.00,0
sntl.3,102.00,0
ewtr.6,98.00,32
wetr.10,81.00,0
ew.12,107.00,27
ew.13,91.00,13
ewtr.7,66.00,5
ew.14,74.00,0
wetl.10,88.00,0
ew.15,69.00,0
nstl.4,45.00,0
ns.4,56.00,0
sn.4,64.00,0
we.28,104.00,21
we.29,97.00,16
ewtl.8,69.00,20
we.30,91.00,3
we.31,85.00,1
nstr.4,78.00,0
wetr.11,106.00,5
we.32,82.00,0
wetl.11,104.00,0
ewtl.9,45.00,0
