vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ns.0,65.00,0
ewtl.0,69.00,18
ewtl.1,40.00,0
nstr.0,83.00,0
we.0,86.00,0
we.1,78.00,0
ewtr.0,83.00,18
wetr.0,88.00,0
sntl.0,95.00,0
wetl.0,97.00,0
ew.0,107.00,22
ew.1,90.00,9
sntr.0,102.00,39
ewtr.1,67.00,4
ew.2,74.00,0
sn.0,111.00,43
sn_bus.0,108.00,33
nstl.1,47.00,0
sntr.1,49.00,0
sn.1,59.00,0
ns.1,69.00,0
nstr.1,77.00,0
we.2,138.00,42
ewtl.2,82.00,35
we.3,128.00,40
ewtl.3,48.00,0
we.4,124.00,36
we.5,117.00,30
wetr.1,139.00,43
wetr.2,120.00,29
wetl.1,141.00,39
we.6,114.00,19
we.7,107.00,15
we.8,99.00,14
wetl.2,122.00,20
we.9,92.00,4
wetl.3,98.00,0
wetr.3,102.00,7
sntl.1,104.00,0
we.10,89.00,0
ew.3,130.00,57
wetr.4,86.00,0
ew.4,119.00,39
ewtr.2,116.00,44
nstl.2,47.00,0
ewtr.3,87.00,9
ew.5,113.00,22
ew.6,97.00,6
ew.7,81.00,4
sntr.2,59.00,0
ns.2,71.00,3
sn.2,72.00,0
nstr.2,81.00,1
sntl.2,87.00,0
we.11,130.00,46
we.12,129.00,45
ewtl.4,94.00,42
ewtl.5,59.00,8
we.13,126.00,30
we.14,118.00,24
we.15,111.00,22
we.16,104.00,20
we.17,97.00,9
wetl.4,156.00,45
we.18,96.00,0
wetl.5,135.00,20
we.19,86.00,0
wetl.6,108.00,1
wetr.5,141.00,30
we.20,82.00,0
wetl.7,91.00,0
wetr.6,115.00,18
ewtl.6,48.00,0
wetr.7,100.00,1
ewtr.4,125.00,51
ew.8,134.00,45
ewtr.5,93.00,22
ew_bus.0,120.00,32
sntr.3,58.00,0
ew.9,118.00,31
ewtr.6,61.00,0
nstl.3,63.00,9
sn.3,70.00,0
ew.10,116.00,13
ns.3,81.00,15
we.21,128.00,46
ew.11,124.00,0
ewtl.7,67.00,20
ew.12,108.00,0
nstr.3,107.00,10
we.22,126.00,32
we.23,119.00,29
sntl.3,109.00,0
we.24,113.00,29
ewtl.8,42.00,0
we.25,110.00,22
wetl.8,139.00,30
we.26,103.00,17
wetl.9,116.00,16
wetl.10,97.00,1
we.27,95.00,9
wetr.8,148.00,40
wetr.9,125.00,28
ewtr.7,83.00,20
we.28,93.00,1
wetr.10,106.00,11
we.29,85.00,0
ewtr.8,55.00,0
we.30,80.00,0
ew.13,119.00,41
ew.14,103.00,26
ew.15,87.00,10
ew.16,71.00,0
wetr.11,95.00,0
wetl.11,97.00,0
sntr.4,77.00,14
sn.4,87.00,16
sntr_bus.0,75.00,7
nstl.4,85.00,31
ns.4,95.00,33
ew.17,85.00,0
nstr.4,113.00,29
we.31,128.00,47
we.32,123.00,35
sntl.4,122.00,13
ewtl.9,83.00,32
we.33,116.00,27
ewtl.10,52.00,0
we.34,110.00,24
we.35,105.00,13
we.36,100.00,13
wetl.12,129.00,25
we.37,93.00,11
wetr.12,136.00,29
wetl.13,112.00,7
we.38,87.00,0
wetr.13,117.00,14
wetr.14,95.00,10
wetl.14,95.00,0
ewtr.9,104.00,39
ew.18,116.00,38
ewtr.10,80.00,12
ew.19,106.00,24
ew.20,90.00,10
sntr.5,87.00,12
sn.5,95.00,22
nstl.5,89.00,32
ew.21,80.00,0
ns.5,106.00,38
we.39,126.00,48
nstr.5,126.00,32
we.40,127.00,41
sntl.5,128.00,23
we.41,120.00,33
ewtl.11,93.00,42
ewtl.12,58.00,5
we.42,118.00,26
wetr.15,138.00,47
we.43,114.00,26
wetr.16,123.00,27
we.44,111.00,19
ewtl.13,38.00,0
we.45,104.00,17
wetl.15,142.00,29
wetl.16,124.00,21
we.46,95.00,0
ewtr.11,111.00,41
we.47,91.00,0
wetr.17,109.00,11
we.48,85.00,0
wetl.17,105.00,0
we.49,76.00,0
we.50,71.00,0
ewtr.12,86.00,7
wetr.18,89.00,0
ew.22,129.00,45
wetl.18,90.00,0
ew.23,117.00,28
sntr.6,106.00,39
ew.24,113.00,10
nstl.6,107.00,57
sn.6,114.00,48
ew.25,97.00,0
ewtr.13,74.00,6
ew.26,81.00,0
sn.7,54.00,0
ns.6,127.00,59
nstl.7,49.00,2
ns.7,57.00,0
we_bus.0,131.00,43
we.51,123.00,38
nstr.6,154.00,51
we.52,121.00,38
sntl.6,155.00,45
ewtl.14,79.00,22
nstr.7,85.00,0
ewtl.15,47.00,0
wetl.19,133.00,39
we.53,118.00,18
wetr.19,137.00,44
we.54,111.00,14
sntl.7,91.00,0
we.55,104.00,12
wetr.20,120.00,18
we.56,96.00,12
we.57,89.00,4
wetl.20,124.00,7
wetl.21,99.00,0
wetr.21,102.00,5
sntr.7,110.00,47
ewtr.14,110.00,36
ew.27,140.00,49
ewtr.15,78.00,8
nstl.8,45.00,0
ew.28,123.00,34
ew.29,118.00,14
sntr.8,59.00,0
ew.30,102.00,3
sn.8,67.00,0
ns.8,68.00,0
nstr.8,77.00,0
ewtl.16,82.00,39
we.58,140.00,47
ewtl.17,49.00,3
wetr.22,138.00,46
we.59,131.00,35
we.60,129.00,34
we.61,122.00,26
we.62,115.00,23
we.63,108.00,23
we.64,101.00,9
sntl.8,99.00,0
wetr.23,126.00,25
wetl.22,145.00,43
we.65,94.00,6
wetl.23,125.00,20
we.66,87.00,5
wetl.24,99.00,0
wetr.24,104.00,8
we.67,79.00,0
we.68,75.00,0
we.69,69.00,0
ewtl.18,41.00,0
ew.31,136.00,52
ewtr.16,117.00,47
wetr.25,100.00,4
ew.32,125.00,40
wetl.25,98.00,0
ew.33,107.00,28
wetr.26,80.00,0
ew.34,99.00,9
sntr.9,57.00,0
ewtr.17,95.00,18
ewtr.18,60.00,0
nstl.9,61.00,8
sn.9,68.00,0
ew.35,91.00,7
ew.36,75.00,0
ns.9,82.00,13
nstr.9,97.00,11
we.70,119.00,38
sntl.9,100.00,0
we.71,114.00,25
we.72,108.00,19
ewtl.19,67.00,14
we.73,99.00,15
ewtl.20,37.00,0
we.74,96.00,6
we.75,86.00,0
wetl.26,138.00,40
wetr.27,117.00,20
we.76,85.00,0
wetl.27,114.00,13
wetr.28,99.00,2
we.77,81.00,0
wetl.28,99.00,0
ewtr.19,87.00,22
ew.37,121.00,39
ew.38,102.00,22
sntr.10,65.00,0
ewtr.20,66.00,0
wetr.29,100.00,0
ew.39,96.00,7
ew.40,79.00,0
nstl.10,73.00,16
sn.10,85.00,0
ns.10,87.00,24
sn_bus.1,77.00,0
nstr.10,99.00,21
we.78,126.00,38
sntl.10,110.00,5
we.79,124.00,35
we.80,113.00,25
ewtl.21,72.00,22
we.81,106.00,23
ewtl.22,43.00,0
we.82,102.00,21
wetl.29,142.00,41
we.83,93.00,0
we.84,92.00,0
wetr.30,123.00,24
wetl.30,122.00,20
we.85,87.00,0
wetl.31,105.00,0
we.86,80.00,0
we.87,73.00,0
wetr.31,113.00,0
ewtr.21,93.00,30
wetr.32,92.00,0
wetl.32,91.00,0
ew.41,134.00,48
ew.42,116.00,30
ew.43,102.00,18
ew.44,85.00,2
sn.11,87.00,24
sntr.11,82.00,11
nstl.11,83.00,28
ew.45,73.00,0
ewtr.22,93.00,11
ns.11,108.00,32
we.88,123.00,42
nstr.11,125.00,30
we.89,118.00,31
sntl.11,126.00,21
we.90,112.00,25
ewtl.23,95.00,34
we.91,105.00,12
wetl.33,128.00,30
ewtl.24,61.00,4
we.92,103.00,11
we.93,95.00,7
wetl.34,113.00,8
wetr.33,138.00,36
wetl.35,91.00,0
we.94,90.00,4
ewtr.23,100.00,38
we.95,87.00,0
we.96,79.00,0
wetr.34,127.00,19
wetr.35,105.00,7
ew.46,119.00,43
ewtr.24,78.00,5
ewtl.25,45.00,0
wetr.36,83.00,0
ewtr.25,55.00,0
ew.47,118.00,24
sntr.12,96.00,28
ew.48,103.00,11
sn.12,104.00,36
nstl.12,98.00,44
ew_bus.1,95.00,0
ew.49,89.00,0
ew.50,73.00,0
ns.12,118.00,49
sn.13,59.00,0
nstl.13,53.00,0
nstr.12,136.00,45
sntl.12,138.00,32
we.97,135.00,46
ewtl.26,74.00,27
nstr.13,75.00,0
we.98,131.00,42
ewtl.27,40.00,0
we.99,124.00,35
ns.13,83.00,0
we.100,119.00,33
wetr.37,132.00,41
we.101,113.00,20
sntl.13,84.00,0
wetr.38,112.00,18
we.102,104.00,15
we.103,100.00,14
we.104,93.00,5
wetl.36,162.00,49
we.105,85.00,0
wetl.37,143.00,33
we.106,80.00,0
wetl.38,121.00,12
wetl.39,97.00,0
wetr.39,100.00,0
ew.51,119.00,45
ew.52,111.00,32
wetr.40,88.00,0
sntr.13,108.00,49
ewtr.26,111.00,37
nstl.14,46.00,0
ew.53,107.00,16
ew.54,90.00,0
ewtr.27,84.00,7
ew.55,78.00,0
sn.14,60.00,0
sntr.14,55.00,0
ns.14,67.00,0
nstr.14,77.00,0
we.107,127.00,44
ewtl.28,82.00,36
we.108,124.00,36
we.109,117.00,33
ewtl.29,54.00,1
we.110,114.00,19
wetr.41,121.00,32
we.111,107.00,19
we.112,100.00,14
wetl.40,145.00,46
we.113,95.00,2
wetr.42,102.00,10
we.114,88.00,0
wetl.41,127.00,23
wetl.42,102.00,0
we.115,79.00,0
wetr.43,87.00,0
we.116,76.00,0
we.117,68.00,0
sntl.14,114.00,0
ewtl.30,42.00,0
ewtr.28,106.00,40
ew.56,123.00,40
ew.57,104.00,22
wetr.44,80.00,0
wetl.43,102.00,0
ew.58,95.00,8
sntr_bus.1,126.00,56
sntr.15,63.00,0
ew.59,88.00,5
ewtr.29,102.00,20
ewtr.30,67.00,0
nstl.15,67.00,10
sn.15,75.00,0
ew.60,78.00,0
ns.15,79.00,14
we.118,118.00,29
we.119,114.00,24
we.120,106.00,17
nstr.15,105.00,7
ewtl.31,67.00,13
we.121,98.00,13
sntl.15,107.00,0
we.122,93.00,12
wetr.45,114.00,17
we.123,87.00,0
ewtl.32,43.00,0
we.124,83.00,0
wetr.46,97.00,9
wetl.44,142.00,30
wetl.45,118.00,14
wetl.46,100.00,0
ewtr.31,85.00,15
ewtr.32,53.00,0
ew.61,121.00,38
ew.62,104.00,21
sntr.16,64.00,0
sn.16,71.00,7
nstl.16,66.00,15
ew.63,94.00,6
ew.64,78.00,0
ns.16,83.00,20
nstr.16,95.00,16
we.125,137.00,43
sntl.16,108.00,1
ewtl.33,70.00,19
we.126,130.00,34
we.127,125.00,33
we.128,118.00,21
we.129,112.00,19
wetl.47,142.00,40
we.130,107.00,17
ewtl.34,51.00,0
wetr.47,151.00,51
wetr.48,126.00,22
we_bus.1,107.00,14
wetl.48,127.00,11
we.131,100.00,5
wetl.49,105.00,0
we.132,97.00,5
ewtr.33,91.00,24
we.133,91.00,5
wetr.49,110.00,12
ewtr.34,60.00,0
we.134,89.00,0
ew.65,126.00,44
wetr.50,96.00,2
we.135,81.00,0
ew.66,107.00,27
we.136,74.00,0
we.137,67.00,0
wetl.50,99.00,1
ewtl.35,40.00,0
ew.67,101.00,12
ew.68,85.00,0
wetr.51,81.00,0
ew.69,69.00,0
wetl.51,83.00,0
sntr.17,94.00,33
ewtr.35,61.00,0
nstl.17,99.00,48
sn.17,109.00,35
ew.70,76.00,0
ns.17,113.00,56
nstl.18,46.00,0
ns.18,67.00,0
we.138,123.00,41
we.139,112.00,26
nstr.17,143.00,45
ewtl.36,73.00,22
sntl.17,145.00,34
we.140,113.00,21
we.141,106.00,20
wetl.52,125.00,26
we.142,100.00,12
we.143,92.00,6
wetr.52,129.00,28
we.144,83.00,4
