vehicleId,tripDuration,totalWaitingTime
ewtl.0,62.00,11
ewtl.1,41.00,0
ewtr.0,77.00,11
ew.0,99.00,15
ewtr.1,58.00,0
sntr.0,94.00,32
ew.1,83.00,0
nstl.0,96.00,47
sn.0,104.00,36
ew.2,74.00,0
sn_bus.0,101.00,26
ns.0,119.00,49
nstl.1,47.00,0
nstr.0,136.00,46
sntl.0,137.00,33
ns.1,68.00,0
we.0,141.00,51
ewtl.2,67.00,18
we.1,133.00,48
wetr.0,144.00,49
we.2,129.00,33
we.3,119.00,31
nstr.1,76.00,0
ewtl.3,40.00,0
we.4,116.00,26
we.5,108.00,19
wetl.0,148.00,47
wetl.1,129.00,27
wetr.1,133.00,32
wetr.2,111.00,18
we.6,105.00,9
wetl.2,109.00,8
we.7,98.00,5
we.8,91.00,5
ew.3,115.00,41
wetr.3,95.00,0
ew.4,104.00,25
sntr.1,98.00,42
ewtr.2,99.00,25
wetl.3,101.00,0
sn.1,110.00,43
ewtr.3,71.00,3
ew.5,100.00,8
ew.6,84.00,0
nstl.2,44.00,0
ns.2,63.00,0
we.9,135.00,47
sntl.1,145.00,37
nstr.2,74.00,0
we.10,131.00,38
we.11,120.00,33
ewtl.4,75.00,24
we.12,114.00,30
wetr.4,129.00,37
ewtl.5,43.00,0
we.13,112.00,17
we.14,105.00,9
we.15,98.00,7
we.16,91.00,6
sntl.2,89.00,0
we.17,82.00,0
wetl.4,139.00,29
wetl.5,116.00,2
wetr.5,122.00,12
ewtr.4,91.00,18
wetr.6,97.00,4
ew.7,122.00,45
wetl.6,98.00,0
ewtr.5,69.00,5
sntr.2,107.00,42
ew.8,118.00,28
ew_bus.0,100.00,11
sn.2,120.00,42
ew.9,98.00,10
nstl.3,47.00,0
sntr.3,52.00,0
ns.3,59.00,0
ew.10,99.00,0
sn.3,63.00,0
we.18,134.00,43
we.19,122.00,40
nstr.3,80.00,0
ewtl.6,76.00,23
we.20,120.00,35
ewtl.7,45.00,0
we.21,112.00,29
wetr.7,134.00,42
wetl.7,134.00,42
we.22,110.00,13
we.23,103.00,13
we.24,96.00,11
wetl.8,117.00,8
we.25,87.00,1
wetr.8,122.00,16
we.26,79.00,0
wetr.9,96.00,9
wetl.9,94.00,0
sntl.3,103.00,0
wetr.10,84.00,0
ewtr.6,102.00,34
wetl.10,88.00,0
ewtr.7,74.00,5
nstl.4,45.00,0
ns.4,57.00,0
sntr.4,56.00,0
sn.4,64.00,0
ew.11,164.00,42
ew.12,147.00,34
ew.13,129.00,19
ew.14,115.00,5
ew.15,99.00,3
nstr.4,79.00,0
we.27,123.00,47
we.28,123.00,39
ewtl.8,85.00,37
we.29,113.00,31
ewtl.9,52.00,0
we.30,107.00,21
we.31,102.00,20
we.32,97.00,7
wetl.11,118.00,16
wetr.11,123.00,22
we.33,90.00,0
we.34,84.00,0
sntl.4,103.00,0
wetr.12,105.00,0
wetl.12,102.00,0
ew.16,115.00,41
ewtr.8,102.00,38
wetr.13,93.00,0
ewtr.9,83.00,11
sntr_bus.0,114.00,46
nstl.5,51.00,0
ew.17,115.00,22
ew.18,99.00,9
ew.19,84.00,4
ns.5,70.00,2
sn.5,70.00,0
sntr.5,71.00,0
nstr.5,89.00,0
we.35,134.00,44
we.36,129.00,43
ewtl.10,91.00,42
we.37,122.00,42
sntl.5,94.00,0
ewtl.11,59.00,7
we.38,116.00,31
we.39,108.00,27
wetr.14,125.00,40
we.40,101.00,16
we.41,93.00,5
wetl.13,150.00,49
wetr.15,103.00,15
we.42,91.00,0
wetl.14,130.00,30
we.43,81.00,0
wetr.16,90.00,0
wetl.15,109.00,0
wetl.16,91.00,0
ew.20,123.00,46
ewtr.10,118.00,57
nstl.6,51.00,4
ew.21,109.00,28
ewtr.11,89.00,20
sn.6,60.00,0
ew.22,99.00,14
sntr.6,61.00,0
ns.6,75.00,8
we.44,132.00,49
ewtl.12,94.00,46
we.45,125.00,48
ewtl.13,57.00,13
we.46,118.00,32
we.47,112.00,30
nstr.6,102.00,1
we.48,106.00,21
sntl.6,104.00,0
we.49,100.00,18
we.50,94.00,12
wetr.17,137.00,43
we_bus.0,94.00,3
wetl.17,138.00,27
wetl.18,113.00,11
wetr.18,116.00,20
ewtr.12,118.00,46
wetl.19,96.00,0
ewtl.14,52.00,0
ewtr.13,85.00,14
wetr.19,103.00,3
sntr.7,57.00,0
sn.7,65.00,4
nstl.7,59.00,10
ew.23,156.00,59
ewtr.14,63.00,0
ns.7,77.00,15
ew.24,152.00,49
ew.25,132.00,33
ew.26,116.00,18
ew.27,103.00,5
ew.28,87.00,0
nstr.7,97.00,12
sntl.7,99.00,1
we.51,141.00,48
we.52,140.00,48
ewtl.15,68.00,17
we.53,136.00,40
we.54,130.00,36
ewtl.16,37.00,0
we.55,123.00,33
we.56,116.00,33
we.57,108.00,25
wetr.20,144.00,41
we.58,105.00,11
wetr.21,121.00,25
wetr.22,102.00,9
wetl.20,147.00,30
we.59,98.00,0
wetl.21,122.00,15
wetl.22,103.00,0
ewtr.15,87.00,17
sntr.8,65.00,0
nstl.8,66.00,15
ewtr.16,69.00,5
sn.8,76.00,3
ew.29,136.00,35
ew.30,119.00,20
ew.31,104.00,9
ew.32,87.00,0
ns.8,90.00,17
nstr.8,100.00,18
we.60,144.00,48
ewtl.17,65.00,20
sntl.8,108.00,2
we.61,140.00,46
we.62,133.00,43
ewtl.18,41.00,0
we.63,126.00,42
we.64,120.00,28
we.65,107.00,25
wetl.23,143.00,42
wetl.24,114.00,18
we.66,106.00,25
wetl.25,95.00,0
wetr.23,151.00,48
wetr.24,126.00,27
we.67,97.00,9
wetr.25,112.00,12
ew.33,119.00,46
sntr.9,69.00,9
ewtr.17,103.00,30
nstl.9,73.00,19
sn.9,80.00,12
ewtr.18,75.00,8
ew.34,117.00,26
ew.35,99.00,12
ew.36,85.00,0
ns.9,94.00,26
nstr.9,108.00,22
we.68,148.00,58
sntl.9,112.00,9
we.69,142.00,54
we.70,138.00,47
ewtl.19,81.00,29
ewtl.20,47.00,0
we.71,133.00,43
wetr.26,148.00,50
we.72,126.00,36
we.73,118.00,33
wetl.26,150.00,49
we.74,115.00,23
wetr.27,130.00,35
wetl.27,128.00,26
we.75,104.00,17
wetl.28,110.00,5
wetr.28,117.00,19
ewtr.19,98.00,32
ew.37,134.00,49
ew.38,117.00,35
sntr.10,75.00,4
nstl.10,80.00,25
ewtr.20,82.00,8
ew.39,108.00,19
ew.40,92.00,5
ns.10,96.00,33
sn.10,96.00,6
sn_bus.1,88.00,4
ew.41,82.00,0
nstr.10,108.00,31
we.76,157.00,58
sntl.10,119.00,15
we.77,150.00,52
ewtl.21,85.00,35
we.78,144.00,46
ewtl.22,52.00,3
we.79,137.00,46
we.80,132.00,43
wetl.29,154.00,48
we.81,123.00,38
we.82,119.00,35
wetl.30,134.00,30
wetr.29,165.00,47
we.83,111.00,13
wetl.31,115.00,0
wetr.30,140.00,40
ewtr.21,105.00,43
wetr.31,129.00,13
ew.42,118.00,39
ew.43,100.00,24
sn.11,90.00,28
ew.44,91.00,7
sntr.11,85.00,15
nstl.11,87.00,32
ew.45,81.00,2
ewtr.22,100.00,11
ns.11,111.00,34
we.84,162.00,60
nstr.11,127.00,32
we.85,158.00,54
sntl.11,129.00,23
we.86,150.00,55
we.87,143.00,54
we.88,136.00,46
ewtl.23,99.00,38
wetl.32,160.00,58
ewtl.24,64.00,7
wetl.33,132.00,34
we.89,131.00,41
we.90,126.00,38
wetr.32,169.00,58
wetl.34,118.00,13
we.91,115.00,24
wetr.33,145.00,43
we.92,114.00,24
ewtr.23,112.00,45
ew.46,123.00,46
wetr.34,135.00,28
sntr.12,91.00,22
sn.12,98.00,30
nstl.12,92.00,40
ewtr.24,97.00,18
ew.47,126.00,29
ew.48,110.00,14
ew_bus.1,102.00,4
ns.12,112.00,42
ew.49,93.00,0
we.93,159.00,67
nstr.12,130.00,40
we.94,151.00,61
sntl.12,134.00,26
ewtl.25,98.00,48
ewtl.26,61.00,12
we.95,149.00,48
we.96,142.00,44
wetr.35,167.00,65
wetr.36,143.00,42
wetl.35,166.00,67
we.97,136.00,41
ewtl.27,39.00,0
we.98,131.00,35
we.99,123.00,31
we.100,118.00,29
wetl.36,150.00,38
we.101,112.00,16
wetr.37,134.00,35
wetl.37,131.00,21
wetl.38,108.00,0
wetr.38,112.00,15
ewtr.25,119.00,53
ew.50,131.00,50
ew.51,114.00,37
sntr.13,94.00,34
ew.52,99.00,18
sn.13,103.00,39
nstl.13,98.00,41
ewtr.26,101.00,22
ewtr.27,71.00,0
ew.53,102.00,4
ew.54,86.00,0
nstl.14,47.00,0
ns.13,130.00,41
nstr.13,128.00,48
sntl.13,131.00,38
ns.14,67.00,0
we.102,157.00,58
we.103,149.00,58
ewtl.28,63.00,17
