vehicleId,tripDuration,totalWaitingTime
ewtl.0,57.0,6.0
ewtr.0,72.0,5.0
sntr.0,85.0,22.0
nstl.0,86.0,38.0
sn.0,94.0,26.0
ew.0,95.0,10.0
ew.1,78.0,0.0
sn_bus.0,92.0,16.0
sn.1,90.0,15.0
sntr.1,63.0,0.0
sn.2,82.0,13.0
ns.0,108.0,39.0
nstl.1,79.0,22.0
sn.3,75.0,0.0
nstl.2,57.0,3.0
sn.4,65.0,0.0
ns.1,106.0,27.0
ns.2,96.0,24.0
ns.3,85.0,11.0
ns.4,75.0,3.0
nstr.0,125.0,36.0
we.0,129.0,39.0
we.1,122.0,37.0
ewtl.1,93.0,44.0
nstr.1,106.0,13.0
we.2,115.0,31.0
nstr.2,83.0,0.0
ewtl.2,59.0,9.0
sntl.0,133.0,30.0
sntl.1,99.0,4.0
we.3,108.0,23.0
wetr.0,138.0,41.0
we.4,106.0,14.0
wetl.0,137.0,36.0
wetr.1,119.0,28.0
we.5,99.0,7.0
wetl.1,121.0,18.0
wetl.2,98.0,0.0
we.6,95.0,0.0
we.7,87.0,0.0
ewtr.1,111.0,48.0
ewtl.3,44.0,0.0
wetr.2,111.0,11.0
ew.2,125.0,48.0
ew.3,113.0,31.0
ewtr.2,94.0,20.0
ew.4,101.0,14.0
ew.5,83.0,0.0
sntr.2,99.0,30.0
ew.6,70.0,0.0
sn.5,119.0,44.0
sntr.3,66.0,5.0
sn.6,109.0,38.0
sn.7,98.0,29.0
ewtr.3,69.0,0.0
sn.8,89.0,18.0
nstl.3,110.0,54.0
sn.9,82.0,6.0
sn.10,71.0,1.0
nstl.4,91.0,33.0
ns.5,134.0,55.0
ns.6,124.0,50.0
sn.11,65.0,0.0
ns.7,114.0,44.0
sn.12,55.0,0.0
ns.8,104.0,30.0
nstr.3,128.0,49.0
nstl.5,78.0,5.0
nstr.4,106.0,25.0
ns.9,98.0,27.0
nstl.6,56.0,0.0
sntr.4,57.0,0.0
ns.10,88.0,15.0
nstr.5,90.0,2.0
ns.11,82.0,3.0
sntl.2,141.0,46.0
sntl.3,106.0,11.0
sn.13,62.0,0.0
nstr.6,73.0,0.0
ns.12,76.0,0.0
ns.13,65.0,0.0
ns.14,56.0,0.0
nstl.7,51.0,0.0
we.8,166.0,72.0
ewtl.4,89.0,42.0
we.9,159.0,66.0
sntl.4,96.0,0.0
ewtl.5,60.0,8.0
we.10,153.0,60.0
we.11,146.0,51.0
we.12,141.0,50.0
nstr.7,79.0,0.0
wetr.3,175.0,67.0
we.13,134.0,49.0
we.14,125.0,16.0
wetl.3,177.0,66.0
we.15,118.0,17.0
wetl.4,158.0,52.0
wetr.4,162.0,60.0
we.16,115.0,15.0
we.17,108.0,12.0
wetr.5,142.0,36.0
we.18,101.0,13.0
ewtl.6,46.0,0.0
wetr.6,120.0,14.0
we.19,93.0,9.0
ew.7,144.0,65.0
