vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ewtl.0,58.00,7
ns.0,65.00,0
ewtr.0,72.00,6
sntr.0,77.00,14
nstr.0,83.00,0
sn.0,86.00,18
sn_bus.0,82.00,8
nstl.1,64.00,8
ew.0,95.00,11
sn.1,81.00,7
ew.1,79.00,0
sn.2,73.00,4
sntr.1,61.00,0
ns.1,94.00,14
sn.3,71.00,0
ns.2,84.00,12
ns.3,74.00,1
nstl.2,56.00,4
ns.4,63.00,0
sn.4,64.00,0
nstr.1,95.00,3
sntl.0,121.00,19
we.0,124.00,34
we.1,117.00,32
ewtl.1,88.00,38
nstr.2,77.00,0
we.2,110.00,26
ewtl.2,54.00,4
sntl.1,91.00,0
ns.5,71.00,0
we.3,105.00,16
wetl.0,132.00,32
wetr.0,135.00,36
we.4,104.00,8
we.5,96.00,1
wetl.1,116.00,11
wetl.2,94.00,0
wetr.1,121.00,24
we.6,92.00,0
wetr.2,99.00,1
we.7,85.00,0
ewtr.1,107.00,43
ew.2,120.00,41
ewtl.3,44.00,0
ew.3,109.00,27
ewtr.2,86.00,11
sntr.2,91.00,23
ew.4,98.00,11
sn.5,111.00,37
sntr.3,57.00,0
ew.5,82.00,0
sn.6,101.00,31
sn.7,90.00,21
sn.8,81.00,9
nstl.3,101.00,46
ew.6,70.00,0
sn.9,73.00,0
nstl.4,79.00,22
sn.10,63.00,0
ns.6,113.00,39
ns.7,103.00,33
ns.8,93.00,20
nstl.5,65.00,2
nstl.6,43.00,0
nstr.3,121.00,41
sn.11,65.00,0
nstr.4,99.00,18
ns.9,90.00,19
sn.12,55.00,0
ns.10,80.00,7
nstr.5,83.00,0
ns.11,74.00,1
we.8,135.00,41
sntl.2,133.00,37
ewtl.4,60.00,11
sntl.3,98.00,6
we.9,128.00,35
ns.12,67.00,0
we.10,123.00,28
we.11,115.00,19
we.12,111.00,18
we.13,104.00,17
nstr.6,75.00,0
wetr.3,147.00,38
wetr.4,126.00,26
wetl.3,146.00,34
wetl.4,126.00,21
we.14,96.00,0
we.15,94.00,0
ewtl.5,46.00,0
we.16,90.00,0
we.17,81.00,0
wetr.5,117.00,9
we.18,74.00,0
ewtr.3,123.00,45
wetr.6,92.00,0
ew.7,112.00,33
ewtr.4,90.00,16
ew.8,98.00,18
sntr.4,94.00,30
sn.13,96.00,27
sntr.5,67.00,2
sn.14,86.00,20
sn.15,76.00,8
ew_bus.0,103.00,8
ew.9,98.00,6
sn.16,68.00,0
nstl.7,87.00,27
ew.10,82.00,0
sn.17,59.00,0
nstl.8,65.00,7
nstl.9,42.00,0
wetl.5,142.00,0
wetl.6,117.00,0
ewtr.5,83.00,8
ns.13,115.00,40
sn.18,55.00,0
ew.11,74.00,0
ns.14,105.00,30
ns.15,95.00,19
