vehicleId,tripDuration,totalWaitingTime
nstl.0,42.0,0.0
ns.0,65.0,0.0
ewtl.0,67.0,16.0
ewtl.1,45.0,0.0
nstr.0,83.0,0.0
we.0,86.0,0.0
we.1,78.0,0.0
ewtr.0,82.0,15.0
wetr.0,89.0,0.0
wetl.0,96.0,0.0
ew.0,105.0,20.0
ew.1,88.0,7.0
ew.2,72.0,0.0
ewtr.1,66.0,6.0
sntr.0,104.0,42.0
sn.0,114.0,45.0
sn_bus.0,111.0,36.0
sn.1,109.0,35.0
sn.2,101.0,32.0
sntr.1,83.0,13.0
ew.3,76.0,0.0
sn.3,94.0,16.0
nstl.1,101.0,46.0
sn.4,84.0,9.0
ns.1,122.0,42.0
sn.5,75.0,0.0
nstl.2,81.0,22.0
ns.2,112.0,40.0
sn.6,64.0,0.0
ns.3,102.0,29.0
ns.4,91.0,21.0
nstr.1,123.0,30.0
nstr.2,101.0,11.0
we.2,135.0,53.0
nstr.3,79.0,0.0
ewtl.2,80.0,34.0
we.3,127.0,43.0
sntl.0,156.0,52.0
ns.5,99.0,16.0
ewtl.3,49.0,0.0
sntl.1,122.0,19.0
we.4,126.0,35.0
sntl.2,88.0,0.0
we.5,118.0,27.0
wetr.1,143.0,52.0
we.6,114.0,21.0
wetr.2,121.0,26.0
we.7,107.0,21.0
wetl.1,145.0,42.0
we.8,101.0,2.0
wetl.2,123.0,21.0
we.9,95.0,0.0
we.10,91.0,0.0
wetl.3,106.0,0.0
wetr.3,109.0,1.0
wetr.4,92.0,0.0
ew.4,122.0,34.0
ewtr.2,117.0,46.0
ew.5,106.0,21.0
ew.6,89.0,6.0
sntr.2,120.0,53.0
wetl.4,100.0,0.0
sntr.3,87.0,26.0
sn.7,118.0,52.0
sn.8,111.0,39.0
ewtr.3,95.0,13.0
sn.9,103.0,26.0
sntr.4,61.0,0.0
ew.7,86.0,7.0
sn.10,92.0,24.0
sn.11,83.0,12.0
sn.12,72.0,6.0
nstl.3,140.0,75.0
sn.13,63.0,0.0
nstl.4,117.0,60.0
ns.6,148.0,64.0
ns.7,138.0,61.0
ns.8,128.0,54.0
nstr.4,127.0,51.0
sn.14,59.0,0.0
nstl.5,103.0,35.0
ns.9,128.0,56.0
nstr.5,114.0,27.0
ns.10,117.0,45.0
nstr.6,91.0,4.0
sntl.3,129.0,36.0
we.11,141.0,50.0
ewtl.4,97.0,51.0
we.12,137.0,49.0
sntl.4,100.0,2.0
we.13,130.0,47.0
ewtl.5,65.0,12.0
we.14,123.0,16.0
nstr.7,79.0,0.0
we.15,117.0,15.0
we.16,111.0,15.0
we.17,94.0,11.0
we.18,93.0,11.0
we.19,88.0,2.0
wetr.5,144.0,39.0
wetr.6,118.0,14.0
we.20,87.0,0.0
ewtl.6,46.0,0.0
we.21,80.0,0.0
wetr.7,100.0,10.0
ew.8,131.0,52.0
wetl.5,153.0,8.0
wetl.6,124.0,5.0
wetr.8,81.0,0.0
wetl.7,107.0,0.0
ewtr.4,132.0,58.0
ew_bus.0,130.0,43.0
ew.9,123.0,39.0
sntr.5,101.0,35.0
ew.10,109.0,23.0
sn.15,110.0,44.0
sntr.6,72.0,8.0
sn.16,103.0,33.0
ew.11,98.0,9.0
ewtr.5,109.0,26.0
ewtr.6,72.0,0.0
sn.17,93.0,26.0
sn.18,82.0,15.0
nstl.6,150.0,75.0
sn.19,74.0,4.0
ns.11,171.0,89.0
sn.20,64.0,0.0
nstl.7,131.0,56.0
ew.12,87.0,0.0
ns.12,164.0,76.0
ns.13,154.0,69.0
nstl.8,112.0,53.0
ns.14,143.0,56.0
sn.21,60.0,0.0
nstl.9,92.0,34.0
ns.15,139.0,55.0
nstr.8,125.0,41.0
ns.16,129.0,54.0
nstr.9,104.0,17.0
nstr.10,82.0,0.0
ewtl.7,72.0,26.0
we.22,128.0,36.0
ns.17,128.0,47.0
ewtl.8,41.0,0.0
we.23,125.0,36.0
sntl.5,151.0,49.0
ns.18,118.0,35.0
we.24,118.0,34.0
sntl.6,118.0,12.0
we.25,111.0,28.0
we.26,105.0,27.0
we.27,96.0,9.0
wetr.9,127.0,38.0
we.28,95.0,4.0
wetl.8,151.0,41.0
we.29,90.0,0.0
wetr.10,111.0,11.0
wetl.9,131.0,27.0
we.30,83.0,0.0
nstr.11,88.0,0.0
wetl.10,111.0,3.0
we.31,76.0,0.0
sntl.7,101.0,0.0
ewtr.7,97.0,27.0
wetr.11,98.0,0.0
wetl.11,96.0,0.0
sntr.7,115.0,53.0
ew.13,142.0,48.0
ewtr.8,82.0,10.0
ew.14,126.0,34.0
ew.15,109.0,21.0
sntr.8,85.0,21.0
sn.22,116.0,50.0
ew.16,93.0,3.0
sn.23,107.0,37.0
nstl.10,139.0,66.0
sn.24,100.0,22.0
sntr_bus.0,85.0,13.0
sn.25,92.0,12.0
sn.26,82.0,12.0
sntr.9,65.0,0.0
ew.17,91.0,0.0
sn.27,74.0,1.0
nstl.11,130.0,56.0
ns.19,173.0,76.0
nstl.12,107.0,48.0
sn.28,66.0,0.0
ns.20,163.0,67.0
ns.21,152.0,58.0
ns.22,142.0,48.0
ns.23,135.0,47.0
ns.24,124.0,46.0
we.32,131.0,43.0
we.33,121.0,40.0
we.34,118.0,35.0
nstr.12,134.0,28.0
ewtl.9,99.0,41.0
nstr.13,112.0,9.0
sntl.8,137.0,31.0
we.35,110.0,27.0
ewtl.10,65.0,9.0
wetl.12,134.0,41.0
wetr.12,139.0,45.0
we.36,107.0,19.0
wetl.13,119.0,22.0
we.37,100.0,18.0
wetl.14,100.0,0.0
nstr.14,103.0,0.0
wetr.13,131.0,35.0
sntl.9,117.0,8.0
we.38,101.0,0.0
ewtl.11,44.0,0.0
we.39,95.0,0.0
ew.18,123.0,51.0
ewtr.9,116.0,44.0
wetr.14,116.0,2.0
ewtr.10,89.0,18.0
ew.19,119.0,33.0
sntr.10,97.0,37.0
ew.20,104.0,16.0
ew.21,87.0,4.0
ewtr.11,64.0,0.0
sn.29,122.0,45.0
sn.30,111.0,40.0
sntr.11,69.0,8.0
ew.22,77.0,0.0
sn.31,101.0,36.0
sn.32,91.0,26.0
sn.33,82.0,8.0
sn.34,72.0,2.0
nstl.13,162.0,88.0
ns.25,181.0,94.0
sn.35,62.0,0.0
nstl.14,140.0,64.0
ns.26,173.0,80.0
ns.27,162.0,73.0
nstl.15,121.0,59.0
ns.28,156.0,59.0
nstr.15,136.0,49.0
ns.29,152.0,56.0
nstr.16,114.0,30.0
ns.30,142.0,61.0
we.40,144.0,53.0
nstr.17,94.0,2.0
we.41,137.0,51.0
ns.31,136.0,57.0
ewtl.12,73.0,23.0
we.42,133.0,45.0
sntl.10,153.0,41.0
sntl.11,118.0,12.0
ewtl.13,46.0,0.0
nstr.18,87.0,0.0
we.43,133.0,35.0
wetl.15,158.0,54.0
wetr.15,161.0,58.0
we.44,128.0,34.0
wetl.16,139.0,40.0
wetr.16,142.0,46.0
we.45,122.0,29.0
we.46,114.0,22.0
wetl.17,119.0,10.0
we.47,107.0,18.0
wetr.17,123.0,26.0
we.48,101.0,4.0
sntl.12,100.0,0.0
wetr.18,105.0,4.0
ewtr.12,101.0,21.0
ew.23,130.0,45.0
wetl.18,106.0,0.0
ew.24,112.0,29.0
ew.25,97.0,15.0
sntr.12,110.0,52.0
ew.26,81.0,0.0
ew.27,66.0,0.0
sn.36,123.0,53.0
sn.37,115.0,43.0
sntr.13,86.0,17.0
sn.38,105.0,35.0
sn.39,94.0,26.0
ewtr.13,91.0,10.0
sn.40,86.0,15.0
ns.32,183.0,101.0
ns.33,172.0,92.0
sn.41,76.0,10.0
nstl.16,179.0,105.0
sn.42,66.0,0.0
nstl.17,156.0,80.0
ns.34,164.0,79.0
sntr.14,65.0,0.0
nstl.18,139.0,63.0
sn.43,62.0,0.0
ns.35,168.0,77.0
ns.36,157.0,66.0
we.49,147.0,51.0
nstr.19,133.0,39.0
nstr.20,110.0,17.0
ns.37,149.0,58.0
we.50,146.0,51.0
ewtl.14,87.0,41.0
nstr.21,90.0,0.0
sntl.13,128.0,26.0
ewtl.15,56.0,7.0
we_bus.0,146.0,51.0
sntl.14,94.0,0.0
we.51,135.0,45.0
wetr.19,147.0,50.0
we.52,133.0,44.0
we.53,131.0,43.0
nstr.22,81.0,0.0
wetl.19,146.0,43.0
wetr.20,132.0,43.0
we.54,127.0,33.0
we.55,120.0,33.0
we.56,111.0,23.0
wetl.20,134.0,25.0
wetl.21,107.0,0.0
we.57,103.0,13.0
ewtl.16,40.0,0.0
we.58,103.0,4.0
wetr.21,121.0,14.0
ew.28,125.0,43.0
wetr.22,103.0,5.0
ew.29,102.0,23.0
ew.30,99.0,13.0
ewtr.14,130.0,43.0
sntr.15,96.0,28.0
ewtr.15,96.0,24.0
ewtr.16,63.0,0.0
sntr.16,65.0,5.0
sn.44,121.0,35.0
ns.38,194.0,110.0
sn.45,111.0,35.0
sn.46,101.0,23.0
sn.47,90.0,20.0
sn.48,80.0,7.0
sn.49,70.0,0.0
ew.31,100.0,7.0
ns.39,192.0,107.0
sn.50,60.0,0.0
nstl.19,198.0,118.0
nstl.20,175.0,96.0
ew.32,85.0,0.0
ns.40,182.0,99.0
nstl.21,154.0,76.0
sn.51,56.0,0.0
nstr.23,118.0,33.0
ns.41,182.0,91.0
we.59,144.0,52.0
nstr.24,103.0,9.0
ns.42,179.0,75.0
we.60,144.0,50.0
ns.43,169.0,72.0
we.61,137.0,48.0
ewtl.17,67.0,16.0
we.62,132.0,40.0
we.63,125.0,39.0
sntl.15,150.0,33.0
ewtl.18,43.0,0.0
nstr.25,92.0,0.0
we.64,119.0,25.0
sntl.16,117.0,4.0
wetl.22,167.0,57.0
wetr.23,145.0,50.0
wetr.24,121.0,25.0
wetl.23,147.0,40.0
we.65,119.0,8.0
wetl.24,123.0,16.0
we.66,112.0,7.0
wetl.25,103.0,0.0
wetr.25,106.0,7.0
we.67,101.0,3.0
we.68,97.0,3.0
we.69,90.0,3.0
ew.33,118.0,42.0
ewtr.17,91.0,20.0
ew.34,104.0,24.0
wetr.26,97.0,0.0
sntr.17,108.0,42.0
ewtr.18,74.0,12.0
ew.35,99.0,9.0
ew.36,83.0,0.0
sntr.18,78.0,16.0
sn.52,109.0,39.0
sn.53,99.0,28.0
sn.54,88.0,19.0
nstl.22,204.0,121.0
sn.55,79.0,10.0
nstl.23,181.0,109.0
ns.44,212.0,113.0
ns.45,205.0,115.0
sn.56,73.0,0.0
ew.37,80.0,0.0
nstl.24,167.0,88.0
ns.46,201.0,108.0
sn.57,71.0,0.0
sntr.19,66.0,0.0
nstl.25,153.0,71.0
nstr.26,134.0,49.0
nstr.27,112.0,26.0
nstr.28,90.0,7.0
ns.47,201.0,103.0
ns.48,191.0,90.0
ns.49,180.0,83.0
we.70,137.0,52.0
ns.50,170.0,74.0
we.71,132.0,51.0
we.72,124.0,46.0
ewtl.19,88.0,35.0
ewtl.20,54.0,4.0
sntl.17,163.0,51.0
we.73,122.0,32.0
wetr.27,128.0,45.0
sntl.18,129.0,17.0
nstr.29,82.0,0.0
we.74,115.0,27.0
wetl.26,157.0,55.0
we.75,106.0,16.0
we.76,103.0,13.0
we.77,92.0,10.0
we.78,85.0,1.0
wetl.27,137.0,29.0
wetl.28,117.0,10.0
we.79,81.0,0.0
wetr.28,120.0,19.0
wetr.29,95.0,10.0
ewtr.19,103.0,35.0
sntl.19,110.0,2.0
wetl.29,96.0,0.0
ewtl.21,40.0,0.0
ewtr.20,80.0,13.0
ew.38,126.0,38.0
ew.39,109.0,26.0
ew.40,93.0,11.0
ewtr.21,55.0,0.0
sn.58,122.0,54.0
sn.59,111.0,49.0
