vehicleId,tripDuration,totalWaitingTime
ewtl.0,57.0,6.0
ewtr.0,72.0,6.0
sntr.0,84.0,22.0
ew.0,94.0,10.0
sn.0,94.0,26.0
ew.1,78.0,0.0
nstl.0,91.0,40.0
sn_bus.0,90.0,16.0
ns.0,109.0,39.0
we.0,125.0,35.0
ewtl.1,87.0,39.0
nstr.0,124.0,36.0
we.1,118.0,32.0
ewtl.2,54.0,5.0
sntl.0,127.0,23.0
we.2,114.0,16.0
we.3,104.0,14.0
wetr.0,135.0,38.0
wetl.0,133.0,32.0
we.4,104.0,11.0
wetl.1,114.0,12.0
wetr.1,118.0,16.0
we.5,97.0,5.0
wetl.2,95.0,0.0
wetr.2,100.0,2.0
we.6,94.0,0.0
ewtl.3,39.0,0.0
we.7,87.0,0.0
ewtr.1,109.0,41.0
we.8,80.0,0.0
ew.2,123.0,43.0
ew.3,107.0,29.0
wetr.3,86.0,0.0
ew.4,94.0,12.0
sntr.1,88.0,34.0
nstl.1,93.0,41.0
sn.1,100.0,35.0
ewtr.2,96.0,19.0
ewtr.3,64.0,0.0
ew.5,92.0,0.0
ew.6,76.0,0.0
ns.1,118.0,44.0
nstr.1,127.0,43.0
we.9,121.0,39.0
ewtl.4,55.0,6.0
we.10,117.0,24.0
we.11,106.0,18.0
wetr.4,114.0,23.0
we.12,102.0,18.0
sntl.1,138.0,27.0
we.13,98.0,2.0
we.14,90.0,0.0
we.15,84.0,0.0
we.16,76.0,0.0
wetl.3,143.0,41.0
wetr.5,105.0,0.0
ewtl.5,43.0,0.0
wetl.4,127.0,17.0
wetr.6,83.0,0.0
wetl.5,107.0,0.0
ew.7,106.0,33.0
sntr.2,96.0,31.0
ew.8,103.0,13.0
ewtr.4,92.0,16.0
ewtr.5,62.0,0.0
nstl.2,98.0,47.0
ew_bus.0,90.0,0.0
ew.9,88.0,0.0
sn.2,108.0,31.0
ns.2,120.0,49.0
nstl.3,47.0,0.0
ew.10,92.0,0.0
ns.3,59.0,0.0
nstr.2,130.0,49.0
sntl.2,132.0,38.0
we.17,133.0,52.0
we.18,130.0,36.0
we.19,119.0,34.0
ewtl.6,71.0,19.0
we.20,115.0,31.0
ewtl.7,41.0,0.0
we.21,108.0,23.0
nstr.3,79.0,0.0
wetr.7,132.0,36.0
we.22,105.0,10.0
we.23,98.0,8.0
we.24,90.0,8.0
wetl.6,156.0,53.0
we.25,83.0,0.0
wetl.7,137.0,35.0
we.26,76.0,0.0
wetr.8,118.0,12.0
wetl.8,115.0,4.0
wetr.9,93.0,7.0
wetl.9,93.0,0.0
sntl.3,101.0,0.0
wetr.10,81.0,0.0
ewtr.6,98.0,32.0
ewtr.7,71.0,10.0
sntr.3,107.0,47.0
sn.3,118.0,49.0
nstl.4,45.0,0.0
ns.4,56.0,0.0
sntr.4,57.0,0.0
sn.4,64.0,0.0
ew.11,156.0,37.0
ew.12,136.0,25.0
ew.13,124.0,12.0
ew.14,108.0,0.0
ew.15,91.0,0.0
nstr.4,78.0,0.0
we.27,119.0,44.0
we.28,119.0,36.0
we.29,114.0,31.0
ewtl.8,82.0,33.0
ewtl.9,49.0,0.0
we.30,109.0,20.0
we.31,103.0,18.0
we.32,98.0,6.0
wetl.10,143.0,50.0
wetl.11,121.0,17.0
wetr.11,125.0,22.0
we.33,92.0,0.0
we.34,86.0,0.0
sntl.4,103.0,0.0
wetl.12,101.0,0.0
wetr.12,106.0,0.0
ew.16,114.0,40.0
wetr.13,92.0,0.0
ewtr.8,107.0,44.0
ewtr.9,80.0,8.0
sntr_bus.0,112.0,45.0
nstl.5,49.0,0.0
ew.17,110.0,17.0
ew.18,98.0,7.0
ns.5,67.0,0.0
ew.19,86.0,4.0
sn.5,70.0,0.0
