vehicleId,tripDuration,totalWaitingTime
nstl.0,42.0,0.0
ewtl.0,58.0,7.0
ns.0,65.0,0.0
ewtr.0,72.0,7.0
sntr.0,77.0,14.0
nstr.0,83.0,0.0
sn.0,86.0,18.0
sn_bus.0,82.0,8.0
ew.0,96.0,11.0
ew.1,79.0,0.0
we.0,108.0,18.0
ewtl.1,70.0,23.0
we.1,101.0,14.0
we.2,98.0,0.0
ewtl.2,43.0,0.0
sntl.0,116.0,15.0
we.3,89.0,0.0
wetr.0,120.0,20.0
wetl.0,117.0,15.0
wetl.1,97.0,0.0
wetr.1,101.0,0.0
we.4,89.0,0.0
we.5,82.0,0.0
wetr.2,85.0,0.0
ewtr.1,91.0,26.0
sntr.1,62.0,6.0
ew.2,105.0,26.0
ew.3,89.0,12.0
sn.1,73.0,9.0
nstl.1,68.0,14.0
ew.4,75.0,0.0
wetl.2,96.0,0.0
ewtr.2,76.0,9.0
ns.1,91.0,17.0
ewtl.3,55.0,10.0
we.6,115.0,23.0
we.7,108.0,18.0
we.8,100.0,17.0
we.9,93.0,9.0
ew.5,85.0,0.0
nstr.1,102.0,17.0
wetr.3,103.0,12.0
we.10,89.0,0.0
we.11,78.0,0.0
wetr.4,85.0,0.0
wetl.3,106.0,4.0
sntl.1,110.0,1.0
we.12,78.0,0.0
ewtl.4,46.0,0.0
ew.6,92.0,12.0
ewtr.3,83.0,9.0
nstl.2,52.0,5.0
ew.7,77.0,0.0
wetl.4,106.0,0.0
sntr.2,59.0,0.0
ewtr.4,67.0,0.0
sn.2,73.0,0.0
ns.2,77.0,7.0
ewtl.5,41.0,0.0
ew.8,85.0,0.0
we.13,110.0,16.0
we.14,103.0,9.0
nstr.2,85.0,5.0
we.15,98.0,9.0
sntl.2,88.0,0.0
we.16,91.0,9.0
we.17,85.0,0.0
wetl.5,122.0,9.0
wetr.5,125.0,14.0
wetl.6,98.0,0.0
wetr.6,101.0,6.0
ewtr.5,61.0,0.0
we.18,88.0,0.0
we.19,76.0,0.0
wetr.7,84.0,0.0
wetl.7,87.0,0.0
we.20,80.0,0.0
ew_bus.0,113.0,24.0
ewtl.6,48.0,0.0
ew.9,107.0,22.0
sntr.3,52.0,0.0
ewtr.6,57.0,0.0
sn.3,63.0,0.0
nstl.3,59.0,3.0
ew.10,103.0,2.0
ns.3,71.0,7.0
ewtl.7,41.0,0.0
we.21,108.0,23.0
we.22,105.0,9.0
we.23,98.0,8.0
we.24,91.0,6.0
we.25,83.0,0.0
wetr.8,118.0,11.0
we.26,75.0,0.0
wetl.8,118.0,8.0
ew.11,116.0,0.0
wetr.9,95.0,5.0
wetl.9,93.0,0.0
ew.12,100.0,0.0
we.27,70.0,0.0
nstr.3,99.0,3.0
wetr.10,81.0,0.0
sntl.3,103.0,0.0
ewtr.7,62.0,3.0
ew.13,95.0,17.0
wetl.10,88.0,0.0
ew.14,80.0,2.0
ew.15,69.0,0.0
nstl.4,45.0,0.0
ns.4,56.0,0.0
sn.4,65.0,0.0
we.28,104.0,22.0
we.29,97.0,16.0
ewtl.8,69.0,22.0
