vehicleId,tripDuration,totalWaitingTime
nstl.0,39.00,0
ewtl.0,57.00,6
ewtr.0,72.00,6
sntr.0,84.00,22
sn.0,94.00,26
ew.0,95.00,10
ew.1,79.00,0
sn_bus.0,91.00,16
ns.0,109.00,39
we.0,125.00,34
ewtl.1,87.00,41
we.1,118.00,32
ewtl.2,54.00,5
nstr.0,127.00,37
sntl.0,129.00,24
we.2,117.00,20
we.3,107.00,17
wetr.0,135.00,37
wetr.1,116.00,19
we.4,106.00,15
we.5,98.00,9
wetl.0,138.00,32
wetr.2,102.00,8
wetl.1,124.00,18
ewtl.3,41.00,0
we.6,98.00,0
we.7,91.00,0
we.8,84.00,0
ew.2,122.00,44
we.9,77.00,0
ew.3,106.00,29
wetr.3,87.00,0
ewtr.1,121.00,53
ew.4,93.00,13
wetl.2,115.00,7
wetl.3,98.00,0
sntr.1,98.00,43
sn.1,109.00,44
nstl.1,103.00,49
ewtr.2,106.00,28
ewtr.3,72.00,5
nstl.2,42.00,0
ew.5,104.00,11
ew.6,88.00,0
ns.1,127.00,53
ns.2,65.00,0
nstr.1,138.00,52
we.10,124.00,31
we.11,113.00,24
ewtl.4,70.00,18
we.12,111.00,24
wetr.4,123.00,30
sntl.1,149.00,39
we.13,108.00,10
nstr.2,79.00,0
ewtl.5,42.00,0
we.14,103.00,5
we.15,96.00,6
sntl.2,85.00,0
we.16,89.00,6
we.17,84.00,0
wetl.4,137.00,26
wetr.5,118.00,8
wetr.6,93.00,1
ew.7,115.00,41
wetl.5,125.00,6
ew.8,112.00,23
ew_bus.0,100.00,9
sntr.2,108.00,42
ewtr.4,109.00,36
ew.9,98.00,8
wetl.6,110.00,0
ewtr.5,75.00,5
sn.2,121.00,43
nstl.3,47.00,0
ew.10,93.00,0
sntr.3,52.00,0
ns.3,59.00,0
sn.3,63.00,0
nstr.3,79.00,0
we.18,137.00,45
we.19,128.00,43
ewtl.6,84.00,32
ewtl.7,50.00,1
wetr.7,138.00,44
we.20,126.00,40
we.21,118.00,33
wetl.7,141.00,43
we.22,114.00,15
we.23,111.00,15
we.24,103.00,14
sntl.3,102.00,0
wetr.8,125.00,16
wetr.9,104.00,14
we.25,97.00,10
we.26,91.00,8
wetl.8,128.00,15
we.27,82.00,0
ewtl.8,42.00,0
we.28,82.00,0
we.29,75.00,0
ewtr.6,115.00,49
wetr.10,95.00,0
wetl.9,118.00,11
wetl.10,100.00,0
ewtr.7,96.00,26
sntr.4,62.00,0
ewtr.8,63.00,2
wetr.11,94.00,0
sntr_bus.0,59.00,0
sn.4,72.00,1
ew.11,166.00,46
nstl.4,70.00,17
ew.12,149.00,40
ew.13,133.00,24
ew.14,117.00,9
ns.4,81.00,20
ew.15,101.00,8
ew.16,84.00,0
we.30,120.00,34
nstr.4,101.00,16
we.31,114.00,32
ewtl.9,64.00,13
we.32,108.00,19
we.33,103.00,11
sntl.4,111.00,3
we.34,97.00,10
wetl.11,137.00,34
ewtl.10,42.00,0
we.35,95.00,0
wetr.12,124.00,18
we.36,91.00,0
wetl.12,122.00,12
we.37,83.00,0
wetr.13,105.00,2
we.38,79.00,0
wetr.14,86.00,0
ewtr.9,89.00,22
wetl.13,111.00,1
ew.17,126.00,36
ew.18,109.00,22
ew.19,94.00,8
wetl.14,98.00,0
ew.20,78.00,0
ewtr.10,72.00,10
sntr.5,78.00,3
nstl.5,80.00,21
sn.5,87.00,13
ew.21,75.00,0
ns.5,98.00,29
we.39,122.00,44
we.40,116.00,31
ewtl.11,75.00,24
we.41,104.00,14
ewtl.12,45.00,0
nstr.5,120.00,26
sntl.5,122.00,17
wetr.15,120.00,31
we.42,107.00,13
we.43,96.00,13
wetr.16,105.00,13
we.44,94.00,9
we.45,87.00,9
we.46,85.00,0
wetr.17,93.00,0
we.47,78.00,0
wetl.15,130.00,15
wetl.16,117.00,13
ew.22,116.00,32
ewtr.11,108.00,39
ew.23,105.00,14
wetl.17,110.00,0
sntr.6,84.00,18
sn.6,91.00,25
nstl.6,85.00,36
ewtr.12,91.00,16
ew.24,101.00,0
ns.6,104.00,38
ew.25,92.00,5
ewtl.13,81.00,36
we.48,116.00,32
we.49,109.00,30
we.50,109.00,30
ewtl.14,57.00,1
we_bus.0,111.00,23
wetr.18,127.00,34
nstr.6,134.00,33
sntl.6,135.00,25
we.51,106.00,19
wetr.19,114.00,22
wetl.18,128.00,30
we.52,105.00,17
we.53,101.00,1
wetr.20,102.00,1
wetl.19,121.00,21
we.54,96.00,0
we.55,91.00,0
we.56,83.00,0
ew.26,120.00,40
ewtl.15,46.00,0
we.57,76.00,0
wetr.21,87.00,0
ewtr.13,123.00,52
ew.27,110.00,19
ew.28,99.00,10
wetl.20,120.00,0
wetl.21,97.00,0
sntr.7,100.00,37
sn.7,107.00,46
nstl.7,103.00,50
ewtr.14,107.00,29
ewtr.15,72.00,7
ns.7,119.00,57
nstl.8,45.00,0
ew.29,111.00,9
ew.30,96.00,0
ns.8,68.00,0
ewtl.16,65.00,22
we.58,125.00,31
nstr.7,141.00,54
sntl.7,142.00,42
wetr.22,121.00,31
we.59,118.00,22
ewtl.17,40.00,0
we.60,114.00,20
nstr.8,78.00,0
we.61,109.00,11
we.62,102.00,9
we.63,92.00,7
wetr.23,113.00,11
we.64,90.00,0
wetl.22,134.00,29
we.65,83.00,0
wetl.23,116.00,10
wetr.24,92.00,0
we.66,77.00,0
sntl.8,97.00,0
ew.31,120.00,40
ew.32,108.00,24
ew.33,92.00,13
ewtr.16,106.00,35
wetl.24,108.00,0
sntr.8,109.00,46
sn.8,120.00,48
ew.34,84.00,0
ewtr.17,79.00,8
nstl.9,49.00,0
ew.35,78.00,0
sntr.9,54.00,0
sn.9,62.00,0
ns.9,64.00,0
nstr.9,80.00,0
we.67,122.00,36
ewtl.18,82.00,35
