vehicleId,tripDuration,totalWaitingTime
nstl.0,39.00,0
ewtl.0,59.00,8
ewtr.0,74.00,6
bus0,83.00,0
sntr.0,84.00,22
sn.0,94.00,27
ew.0,95.00,11
ew.1,80.00,0
ns.0,108.00,39
we.0,121.00,30
ewtl.1,88.00,41
we.1,113.00,29
nstr.0,126.00,38
sntl.0,128.00,25
wetr.0,125.00,30
we.2,116.00,20
ewtl.2,61.00,13
we.3,106.00,18
wetr.1,115.00,18
we.4,103.00,14
we.5,96.00,8
wetl.0,133.00,29
wetr.2,99.00,7
we.6,94.00,0
wetl.1,121.00,18
we.7,87.00,0
we.8,79.00,0
ew.2,122.00,43
we.9,77.00,0
ew.3,106.00,31
wetl.2,110.00,6
ewtl.3,52.00,4
ew.4,94.00,13
wetr.3,94.00,4
ewtr.1,128.00,60
ewtr.2,98.00,23
wetl.3,100.00,0
sntr.1,100.00,44
sn.1,111.00,47
nstl.1,106.00,51
ewtr.3,72.00,0
nstl.2,43.00,0
ew.5,110.00,14
ns.1,129.00,56
ew.6,94.00,5
ns.2,64.00,0
nstr.1,140.00,55
we.10,126.00,32
we.11,113.00,25
we.12,113.00,24
ewtl.4,73.00,19
sntl.1,150.00,39
nstr.2,79.00,0
we.13,109.00,14
ewtl.5,43.00,0
wetr.4,133.00,40
sntl.2,85.00,0
we.14,107.00,7
we.15,100.00,6
we.16,93.00,4
wetr.5,119.00,9
wetl.4,138.00,26
we.17,87.00,0
wetr.6,97.00,2
ew.7,118.00,42
we.18,88.00,0
ewtr.4,97.00,21
we.19,78.00,0
wetr.7,85.00,0
wetl.5,130.00,8
ew.8,115.00,26
ew.9,98.00,14
wetl.6,110.00,0
ewtr.5,74.00,11
wetl.7,93.00,0
ew.10,92.00,0
sntr.2,123.00,57
sntr.3,53.00,0
sn.2,136.00,58
nstl.3,58.00,5
sn.3,65.00,0
ns.3,71.00,6
we.20,126.00,41
we.21,119.00,36
ew.11,116.00,0
ewtl.6,93.00,41
nstr.3,97.00,3
we.22,114.00,18
we.23,111.00,18
we.24,103.00,17
wetr.8,128.00,23
ewtl.7,66.00,13
sntl.3,103.00,0
we.25,96.00,13
we.26,89.00,8
wetr.9,105.00,16
wetl.8,133.00,21
we.27,80.00,0
we.28,79.00,0
wetr.10,92.00,2
we.29,75.00,0
wetl.9,116.00,15
ew.12,125.00,42
wetl.10,97.00,1
ew.13,108.00,29
ew.14,95.00,16
ewtl.8,56.00,5
ewtr.6,126.00,59
ewtr.7,95.00,27
wetr.11,94.00,0
ewtr.8,69.00,4
sntr.4,69.00,7
nstl.4,72.00,18
sn.4,80.00,11
ew.15,100.00,16
ew.16,84.00,10
ns.4,89.00,26
we.30,127.00,40
nstr.4,108.00,23
we.31,121.00,38
we.32,115.00,26
ewtl.9,77.00,26
sntl.4,117.00,7
we.33,111.00,18
we.34,103.00,19
wetl.11,144.00,41
ewtl.10,48.00,0
we.35,98.00,7
we.36,94.00,6
wetr.12,129.00,23
we.37,87.00,5
ewtr.9,90.00,25
wetr.13,109.00,8
wetl.12,129.00,18
ewtr.10,58.00,0
wetr.14,89.00,3
we.38,83.00,0
we.39,76.00,0
wetl.13,113.00,8
ew.17,132.00,42
wetl.14,102.00,0
ew.18,118.00,29
ew.19,102.00,16
ew.20,85.00,0
sntr.5,84.00,8
sn.5,92.00,17
nstl.5,86.00,29
ew.21,75.00,0
ns.5,103.00,34
we.40,120.00,35
we.41,111.00,25
ewtl.11,86.00,35
wetr.15,125.00,34
we.42,111.00,21
nstr.5,127.00,32
ewtl.12,55.00,3
sntl.5,128.00,22
we.43,102.00,17
wetr.16,110.00,19
we.44,99.00,12
we.45,91.00,11
wetr.17,96.00,3
wetl.15,140.00,27
wetl.16,121.00,19
ew.22,120.00,37
sntr.6,83.00,16
sn.6,90.00,25
nstl.6,84.00,36
wetl.17,112.00,0
ewtr.11,122.00,52
ew.23,114.00,24
ewtr.12,92.00,12
ns.6,103.00,37
ew.24,108.00,5
ewtl.13,85.00,38
nstr.6,133.00,31
sntl.6,135.00,26
ewtl.14,66.00,7
we.46,154.00,49
wetr.18,140.00,42
we.47,152.00,48
wetr.19,121.00,33
we.48,145.00,47
we.49,134.00,42
wetl.18,142.00,41
we.50,131.00,37
we.51,121.00,26
we.52,116.00,25
bus1,171.00,54
wetl.19,127.00,31
wetr.20,107.00,8
we.53,112.00,5
we.54,104.00,5
we.55,97.00,2
ew.25,144.00,50
we.56,90.00,1
we.57,82.00,0
ew.26,128.00,39
ewtl.15,54.00,0
wetr.21,95.00,0
ewtr.13,130.00,58
ew.27,119.00,27
ew.28,103.00,11
wetl.20,128.00,6
wetl.21,103.00,0
sn.7,116.00,57
sntr.7,111.00,48
nstl.7,112.00,60
ewtr.14,113.00,33
ewtr.15,78.00,4
nstl.8,45.00,0
ns.7,129.00,66
ew.29,118.00,12
sntr.8,59.00,0
ew.30,102.00,3
sn.8,67.00,0
ns.8,68.00,0
nstr.7,151.00,64
nstr.8,80.00,0
we.58,140.00,48
sntl.7,157.00,55
ewtl.16,74.00,29
we.59,134.00,39
wetr.22,140.00,50
we.60,130.00,38
we.61,123.00,27
ewtl.17,58.00,9
we.62,116.00,24
we.63,106.00,22
sntl.8,98.00,0
we.64,104.00,10
we.65,96.00,9
wetr.23,129.00,27
wetl.22,150.00,45
we.66,89.00,12
wetr.24,106.00,10
wetl.23,130.00,25
we.67,84.00,0
we.68,81.00,0
wetl.24,112.00,9
ew.31,137.00,48
we.69,74.00,0
wetr.25,96.00,0
ewtl.18,48.00,0
ew.32,116.00,32
ew.33,104.00,21
wetr.26,81.00,0
we.70,77.00,0
ewtr.16,114.00,42
wetl.25,107.00,0
ew.34,101.00,9
ewtr.17,103.00,24
wetl.26,96.00,0
ewtr.18,70.00,2
sntr.9,71.00,10
ew.35,100.00,10
sn.9,82.00,14
nstl.9,76.00,20
ew.36,84.00,1
ew.37,76.00,0
ns.9,96.00,27
we.71,121.00,32
nstr.9,112.00,25
we.72,115.00,26
we.73,106.00,23
sntl.9,115.00,14
ewtl.19,81.00,28
we.74,104.00,14
wetr.27,119.00,25
ewtl.20,46.00,0
we.75,94.00,10
we.76,94.00,3
wetr.28,106.00,13
we.77,85.00,0
wetl.27,130.00,25
wetl.28,118.00,11
ew.38,110.00,29
ewtr.19,101.00,36
sntr.10,71.00,0
nstl.10,76.00,21
ewtr.20,76.00,6
ew.39,104.00,16
ew.40,88.00,1
sn.10,91.00,1
ns.10,92.00,28
nstr.10,105.00,27
we.78,126.00,33
we.79,125.00,32
sntl.10,116.00,12
ewtl.21,75.00,25
we.80,120.00,31
we.81,109.00,28
we.82,106.00,27
wetl.29,141.00,34
wetr.29,146.00,39
we.83,99.00,4
ewtl.22,53.00,0
wetr.30,130.00,30
we.84,97.00,3
we.85,91.00,0
wetl.30,135.00,29
wetl.31,115.00,3
wetr.31,118.00,3
we.86,88.00,0
wetr.32,96.00,1
we.87,82.00,0
ew.41,135.00,43
ew.42,118.00,32
ewtr.21,107.00,41
ew.43,102.00,21
wetl.32,105.00,0
ew.44,87.00,2
sn.11,95.00,33
sntr.11,90.00,20
nstl.11,92.00,37
ew.45,88.00,7
ew.46,72.00,0
ewtr.22,101.00,16
ns.11,115.00,40
we.88,124.00,43
we.89,122.00,32
we.90,116.00,29
nstr.11,135.00,39
ewtl.23,100.00,38
sntl.11,136.00,30
ewtl.24,64.00,10
