vehicleId,tripDuration,totalWaitingTime
ewtl.0,46.00,0
ewtr.0,63.00,0
sntr.0,64.00,1
nstl.0,66.00,18
sn.0,76.00,8
sn_bus.0,71.00,0
ew.0,86.00,1
ns.0,91.00,22
ew.1,76.00,0
ewtl.1,59.00,14
we.0,98.00,8
we.1,91.00,5
wetr.0,100.00,7
we.2,92.00,0
nstr.0,109.00,19
we.3,82.00,0
sntl.0,111.00,8
wetl.0,110.00,6
ewtl.2,43.00,0
we.4,83.00,0
wetr.1,98.00,3
ewtr.1,81.00,15
wetl.1,99.00,0
we.5,81.00,0
ew.2,95.00,17
wetr.2,84.00,0
ew.3,79.00,2
sntr.1,60.00,5
ewtr.2,64.00,0
nstl.1,66.00,13
sn.1,73.00,8
ew.4,75.00,0
wetl.2,96.00,0
ns.1,91.00,17
ewtl.3,53.00,7
we.6,114.00,23
we.7,107.00,17
we.8,100.00,16
ew.5,86.00,0
we.9,95.00,7
nstr.1,102.00,16
wetr.3,104.00,9
we.10,91.00,0
we.11,81.00,0
sntl.1,111.00,3
wetr.4,90.00,0
we.12,79.00,0
ewtl.4,46.00,0
wetl.3,115.00,8
ew.6,90.00,10
ew.7,77.00,0
ewtr.3,84.00,11
wetl.4,107.00,0
we.13,90.00,0
sntr.2,59.00,0
nstl.2,61.00,13
ewtr.4,66.00,0
sn.2,79.00,0
ew.8,84.00,0
ns.2,86.00,17
ew_bus.0,79.00,0
ew.9,73.00,0
ewtl.5,52.00,4
we.14,114.00,21
we.15,108.00,20
nstr.2,97.00,16
we.16,100.00,19
sntl.2,101.00,4
we.17,95.00,10
wetr.5,129.00,22
wetr.6,105.00,18
we.18,92.00,0
we.19,79.00,0
wetl.5,135.00,21
we.20,80.00,0
ewtl.6,48.00,0
wetl.6,118.00,12
wetr.7,100.00,5
we.21,79.00,0
wetl.7,98.00,0
ewtr.5,88.00,24
sntr.3,56.00,0
ewtr.6,60.00,0
nstl.3,63.00,7
ew.10,102.00,7
sn.3,70.00,2
ns.3,81.00,17
ewtl.7,53.00,7
ew.11,115.00,0
we.22,115.00,17
ew.12,99.00,0
we.23,108.00,17
ew.13,83.00,0
we.24,101.00,16
nstr.3,99.00,14
we.25,94.00,9
we.26,86.00,4
wetr.8,131.00,20
wetr.9,106.00,15
wetl.8,130.00,17
sntl.3,107.00,0
we.27,78.00,0
wetr.10,88.00,0
we.28,78.00,0
ewtl.8,42.00,0
wetl.9,113.00,11
we.29,75.00,0
ew.14,86.00,10
wetl.10,96.00,0
ew.15,71.00,0
ewtr.7,88.00,25
sntr.4,56.00,0
ewtr.8,57.00,0
nstl.4,59.00,8
sn.4,67.00,0
ew.16,69.00,0
sntr_bus.0,59.00,0
ns.4,77.00,14
we.30,109.00,20
ewtl.9,52.00,2
we.31,103.00,19
we.32,97.00,9
nstr.4,97.00,12
we.33,93.00,0
we.34,86.00,0
wetl.11,126.00,21
wetr.11,130.00,27
sntl.4,106.00,0
wetr.12,106.00,2
we.35,83.00,0
ewtl.10,42.00,0
wetl.12,111.00,1
we.36,80.00,0
we.37,74.00,0
wetr.13,99.00,2
ewtr.9,80.00,12
wetr.14,76.00,0
wetl.13,98.00,0
ew.17,115.00,25
ew.18,96.00,8
nstl.5,56.00,2
ew.19,82.00,0
ewtr.10,59.00,1
ew.20,71.00,0
sn.5,71.00,0
sntr.5,70.00,0
ns.5,80.00,11
we.38,104.00,21
we.39,98.00,18
ewtl.11,52.00,1
we.40,92.00,7
we.41,87.00,0
wetr.15,98.00,5
we.42,84.00,0
we.43,73.00,0
wetl.14,123.00,21
nstr.5,102.00,8
sntl.5,104.00,0
wetr.16,83.00,0
we.44,77.00,0
we.45,70.00,0
ewtl.12,40.00,0
wetl.15,113.00,0
ew.21,102.00,24
wetl.16,93.00,0
ew.22,91.00,7
ewtr.11,80.00,16
nstl.6,51.00,7
sn.6,61.00,0
ew.23,83.00,0
sntr.6,60.00,0
ewtr.12,68.00,0
ns.6,77.00,9
ewtl.13,46.00,1
we.46,105.00,16
we.47,97.00,16
we.48,92.00,8
wetr.17,119.00,27
we.49,87.00,5
ew.24,97.00,0
we.50,80.00,0
wetr.18,98.00,7
we_bus.0,79.00,0
wetl.17,129.00,17
wetr.19,83.00,0
nstr.6,107.00,4
wetl.18,105.00,6
we.51,76.00,0
sntl.6,109.00,0
we.52,75.00,0
wetl.19,90.00,0
ew.25,107.00,18
ew.26,92.00,6
ewtl.14,53.00,0
nstl.7,51.00,3
ewtr.13,87.00,16
sn.7,58.00,0
sntr.7,57.00,0
ewtr.14,64.00,0
ns.7,71.00,9
ew.27,87.00,0
ew.28,74.00,0
we.53,112.00,18
ewtl.15,45.00,0
we.54,107.00,11
wetr.20,115.00,16
we.55,99.00,9
we.56,93.00,9
we.57,86.00,4
nstr.7,93.00,5
sntl.7,95.00,0
wetr.21,99.00,4
we.58,87.00,0
wetr.22,82.00,0
wetl.20,130.00,12
ewtl.16,38.00,0
wetl.21,107.00,3
ewtr.15,75.00,10
we.59,90.00,0
we.60,87.00,0
wetl.22,97.00,0
nstl.8,49.00,0
ew.29,117.00,15
ew.30,101.00,2
sntr.8,59.00,0
ew.31,84.00,0
sn.8,67.00,0
ewtr.16,66.00,1
ns.8,77.00,4
ew.32,79.00,0
ewtl.17,41.00,0
we.61,110.00,15
we.62,101.00,14
we.63,96.00,13
nstr.8,88.00,3
we.64,90.00,0
wetr.23,117.00,14
we.65,82.00,0
wetr.24,92.00,0
we.66,79.00,0
wetl.23,118.00,14
sntl.8,100.00,0
wetl.24,99.00,0
ew.33,87.00,14
we.67,80.00,0
we.68,78.00,0
we.69,70.00,0
wetr.25,91.00,0
ewtl.18,43.00,0
ewtr.17,81.00,13
ew.34,89.00,1
wetl.25,96.00,0
nstl.9,47.00,0
sntr.9,53.00,0
ew.35,78.00,0
sn.9,62.00,0
ewtr.18,57.00,0
ns.9,72.00,3
ew.36,75.00,0
we.70,100.00,17
we.71,91.00,3
we.72,87.00,0
we.73,80.00,0
nstr.9,88.00,3
ewtl.19,48.00,0
wetr.26,117.00,28
wetr.27,92.00,0
wetl.26,117.00,20
sntl.9,95.00,0
we.74,82.00,0
ewtr.19,56.00,0
we.75,75.00,0
wetl.27,101.00,0
wetr.28,88.00,0
ewtl.20,39.00,0
ew.37,94.00,12
ew.38,81.00,0
wetl.28,100.00,0
nstl.10,49.00,0
ew.39,80.00,0
sntr.10,56.00,0
ns.10,67.00,3
ew.40,73.00,0
we.76,111.00,21
we.77,106.00,20
nstr.10,79.00,1
we.78,100.00,6
ewtl.21,45.00,0
we.79,95.00,5
we.80,88.00,0
we.81,83.00,0
wetr.29,116.00,8
wetl.29,116.00,7
we.82,77.00,0
wetr.30,94.00,0
sntl.10,96.00,0
ewtr.20,107.00,33
wetl.30,108.00,0
ewtr.21,74.00,10
ewtl.22,42.00,0
ew.41,101.00,14
ew.42,85.00,0
ew.43,68.00,0
nstl.11,54.00,2
sn.10,135.00,45
sn_bus.1,127.00,43
sn.11,67.00,0
ns.11,71.00,0
we.83,115.00,19
ew.44,77.00,0
we.84,116.00,19
we.85,111.00,19
wetl.31,130.00,20
we.86,105.00,16
wetr.31,133.00,22
we.87,98.00,15
we.88,90.00,7
nstr.11,90.00,0
sntl.11,93.00,0
ewtl.23,57.00,0
wetr.32,121.00,17
wetl.32,119.00,17
we.89,90.00,0
we.90,84.00,0
wetr.33,99.00,0
ew.45,91.00,11
ew.46,76.00,0
sntr.11,114.00,45
wetr.34,98.00,0
nstl.12,45.00,0
ewtr.22,120.00,35
wetl.33,121.00,0
ewtr.23,88.00,11
sn.12,62.00,0
ns.12,64.00,0
we.91,115.00,26
ew.47,92.00,0
ew.48,76.00,0
we.92,112.00,23
ewtl.24,75.00,24
we.93,99.00,18
we.94,95.00,14
ewtl.25,45.00,0
wetr.35,104.00,18
we.95,97.00,5
nstr.12,86.00,0
we.96,89.00,3
wetl.34,134.00,26
wetr.36,88.00,2
wetl.35,113.00,16
sntr.12,92.00,26
sntl.12,101.00,0
ew_bus.1,102.00,14
ewtr.24,106.00,33
ew.49,97.00,13
ew.50,82.00,0
ewtl.26,47.00,0
we.97,117.00,24
we.98,110.00,18
wetr.37,109.00,18
we.99,104.00,12
