vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ns.0,65.00,0
ewtl.0,68.00,17
ewtl.1,40.00,0
nstr.0,83.00,0
we.0,86.00,0
we.1,79.00,0
ewtr.0,83.00,17
wetr.0,89.00,0
ew.0,105.00,21
wetl.0,99.00,0
ew.1,89.00,8
ew.2,74.00,0
ewtr.1,68.00,7
sntr.0,105.00,41
sn.0,116.00,49
ew.3,68.00,0
sn_bus.0,112.00,38
nstl.1,47.00,0
sntr.1,49.00,0
sn.1,59.00,0
ns.1,69.00,0
sntl.0,148.00,47
nstr.1,79.00,0
ewtl.2,85.00,37
we.2,142.00,44
we.3,131.00,43
ewtl.3,51.00,3
we.4,129.00,40
we.5,121.00,34
wetr.1,146.00,50
wetr.2,125.00,33
wetl.1,147.00,44
we.6,121.00,24
we.7,114.00,20
sntl.1,104.00,0
we.8,107.00,19
we.9,100.00,12
wetr.3,109.00,14
we.10,96.00,3
ewtr.2,112.00,40
wetr.4,95.00,2
ew.4,120.00,39
wetl.2,141.00,32
wetl.3,121.00,13
nstl.2,49.00,2
ew.5,114.00,24
ew.6,98.00,7
ew.7,81.00,1
ewtr.3,95.00,18
sntr.2,59.00,0
ewtr.4,64.00,0
sn.2,72.00,0
ns.2,76.00,6
ew.8,85.00,0
nstr.2,87.00,6
sntl.2,94.00,0
we.11,144.00,53
we.12,140.00,53
ewtl.4,104.00,54
ewtl.5,69.00,18
we.13,138.00,42
we.14,131.00,35
we.15,126.00,35
we.16,119.00,35
wetr.5,143.00,38
we.17,112.00,26
ewtl.6,48.00,0
wetl.4,169.00,53
wetr.6,122.00,34
we.18,110.00,15
wetr.7,107.00,14
wetl.5,152.00,36
wetl.6,134.00,27
ew_bus.0,133.00,46
wetl.7,116.00,16
ew.9,126.00,43
sntr.3,67.00,9
ewtr.5,104.00,38
nstl.3,72.00,18
ewtr.6,74.00,13
sn.3,80.00,11
ew.10,122.00,21
ns.3,91.00,27
ew.11,126.00,2
ew.12,110.00,0
nstr.3,111.00,24
we.19,161.00,70
sntl.3,119.00,7
we.20,158.00,66
ewtl.7,84.00,37
we.21,151.00,56
ewtl.8,48.00,1
we.22,151.00,51
we.23,142.00,51
we.24,136.00,50
we.25,130.00,47
we.26,123.00,40
wetr.8,166.00,55
wetr.9,141.00,50
wetl.8,166.00,51
wetr.10,124.00,35
ew.13,137.00,54
ew.14,120.00,43
wetl.9,150.00,48
ew.15,102.00,25
ew.16,87.00,9
ewtr.7,113.00,49
wetl.10,135.00,33
sntr.4,86.00,26
ewtr.8,85.00,14
sntr_bus.0,86.00,16
sn.4,99.00,29
nstl.4,94.00,41
ns.4,108.00,45
ew.17,104.00,10
nstl.5,49.00,0
nstr.4,128.00,42
ns.5,63.00,0
we.27,177.00,91
we.28,176.00,83
sntl.4,138.00,27
we.29,169.00,77
ewtl.9,104.00,54
ewtl.10,70.00,19
we.30,165.00,64
we.31,158.00,62
we.32,153.00,52
wetr.11,179.00,68
ewtl.11,46.00,0
we.33,150.00,51
we.34,143.00,51
wetl.11,182.00,66
nstr.5,88.00,0
wetr.12,162.00,51
we.35,140.00,45
wetr.13,147.00,45
ew.18,137.00,56
ewtr.9,131.00,64
wetl.12,169.00,52
ew.19,124.00,44
ew.20,107.00,26
wetl.13,154.00,44
ewtr.10,107.00,39
sntr.5,108.00,32
ewtr.11,75.00,9
sn.5,118.00,43
nstl.6,41.00,0
ew.21,103.00,14
ew.22,92.00,3
sn.6,60.00,0
ns.6,61.00,0
sntr.6,61.00,0
sntl.5,147.00,42
we.36,189.00,99
ewtl.12,82.00,35
we.37,184.00,98
ewtl.13,48.00,4
we.38,182.00,84
we.39,175.00,81
we.40,168.00,69
wetr.14,195.00,97
we.41,160.00,56
wetr.15,169.00,66
nstr.6,98.00,0
sntl.6,100.00,0
we.42,159.00,52
wetl.14,202.00,87
wetr.16,157.00,52
we.43,153.00,50
wetl.15,190.00,60
ew.23,143.00,51
nstl.7,50.00,1
sn.7,58.00,0
ewtr.12,125.00,49
wetl.16,178.00,51
ewtr.13,93.00,19
sntr.7,57.00,0
ew.24,139.00,37
ewtr.14,62.00,0
ew.25,123.00,24
ew.26,107.00,10
ns.7,71.00,7
ew.27,102.00,9
ew.28,85.00,0
nstr.7,93.00,6
sntl.7,95.00,0
we.44,210.00,110
we.45,203.00,109
we.46,198.00,98
ewtl.14,108.00,50
we.47,193.00,96
ewtl.15,74.00,18
ewtl.16,39.00,0
we.48,187.00,86
we.49,182.00,82
we.50,175.00,76
wetr.17,216.00,112
wetr.18,193.00,85
we_bus.0,174.00,69
wetl.17,222.00,99
wetr.19,176.00,73
wetl.18,201.00,84
sntr.8,69.00,4
ewtr.15,106.00,40
nstl.8,70.00,20
ewtr.16,75.00,8
sn.8,82.00,11
ew.29,133.00,33
ew.30,121.00,22
ew.31,102.00,6
ew.32,88.00,0
ns.8,98.00,24
nstr.8,108.00,23
sntl.8,117.00,10
ewtl.17,79.00,34
we.51,228.00,123
we.52,227.00,121
ewtl.18,49.00,2
we.53,229.00,108
wetl.19,243.00,129
we.54,222.00,104
wetr.20,231.00,108
we.55,216.00,105
we.56,209.00,103
we.57,202.00,101
wetr.21,214.00,102
wetr.22,195.00,87
we.58,201.00,88
ew.33,131.00,55
wetl.20,248.00,106
wetl.21,224.00,100
sntr.9,85.00,26
ew.34,126.00,36
ew.35,113.00,27
nstl.9,90.00,37
ew.36,97.00,10
ewtr.17,122.00,49
sn.9,98.00,30
ewtr.18,92.00,18
ns.9,112.00,43
nstl.10,49.00,0
ns.10,58.00,0
nstr.9,128.00,42
sntl.9,131.00,29
we.59,254.00,140
nstr.10,70.00,0
ewtl.19,106.00,52
we.60,253.00,138
ewtl.20,71.00,21
we.61,246.00,129
we.62,240.00,123
we.63,233.00,120
wetr.23,252.00,126
wetl.22,270.00,152
we.64,228.00,111
ewtl.21,47.00,0
we.65,221.00,106
wetr.24,229.00,107
we.66,214.00,101
wetl.23,254.00,123
wetl.24,236.00,107
sntl.10,96.00,0
wetr.25,218.00,100
ew.37,157.00,68
ew.38,141.00,54
ewtr.19,138.00,73
wetl.25,224.00,106
sntr.10,103.00,42
ew.39,130.00,44
ew.40,114.00,29
ewtr.20,113.00,35
sn.10,124.00,35
sn_bus.1,116.00,35
sn.11,57.00,0
nstl.11,53.00,0
ns.11,71.00,0
we.67,267.00,161
we.68,265.00,159
ewtl.22,79.00,32
we.69,258.00,156
nstr.11,90.00,0
we.70,255.00,147
sntl.11,93.00,0
we.71,249.00,136
we.72,242.00,129
ewtr.21,134.00,64
we.73,242.00,123
wetl.26,273.00,150
ewtl.23,71.00,9
we.74,238.00,115
wetr.26,281.00,162
wetr.27,255.00,128
wetr.28,242.00,112
ew.41,179.00,79
ew.42,164.00,67
ew.43,146.00,56
ew.44,128.00,43
sntr.11,125.00,54
nstl.12,54.00,2
ew.45,114.00,26
sn.12,61.00,0
ew.46,97.00,15
ewtr.22,118.00,30
ewtr.23,92.00,8
wetl.27,275.00,126
ewtr.24,63.00,0
sntr.12,63.00,0
ns.12,76.00,6
ew.47,98.00,0
ew.48,82.00,0
nstr.12,96.00,5
we.75,288.00,166
sntl.12,100.00,0
we.76,287.00,161
ewtl.24,105.00,53
ewtl.25,69.00,20
we.77,280.00,155
we.78,275.00,150
we.79,270.00,149
we.80,263.00,145
wetr.29,289.00,152
we.81,254.00,136
wetl.28,310.00,165
ewtl.26,48.00,0
we.82,251.00,132
wetl.29,290.00,153
wetr.30,266.00,139
wetr.31,260.00,121
wetl.30,277.00,136
ew_bus.1,127.00,39
ew.49,123.00,39
ew.50,110.00,26
ewtr.25,103.00,34
sntr.13,68.00,8
ew.51,94.00,11
ew.52,78.00,0
nstl.13,72.00,19
sn.13,79.00,14
ewtr.26,76.00,7
ns.13,106.00,20
nstr.13,107.00,18
sntl.13,108.00,12
we.83,305.00,175
ewtl.27,81.00,37
we.84,304.00,174
ewtl.28,47.00,0
we.85,300.00,168
wetl.31,319.00,178
we.86,293.00,162
we.87,286.00,154
we.88,278.00,145
wetr.32,304.00,165
wetl.32,307.00,164
we.89,278.00,141
we.90,272.00,142
wetr.33,288.00,144
wetr.34,280.00,139
ew.53,145.00,56
ewtr.27,115.00,37
sntr.14,86.00,23
ew.54,128.00,40
wetl.33,303.00,142
ewtr.28,86.00,16
ew.55,113.00,27
sn.14,97.00,31
ew.56,95.00,8
sntr_bus.1,86.00,18
nstl.14,95.00,44
ew.57,90.00,6
ewtr.29,70.00,0
ns.14,114.00,42
ew.58,81.00,0
nstl.15,49.00,0
nstr.14,126.00,40
ns.15,58.00,0
we.91,322.00,197
we.92,322.00,194
ewtl.29,104.00,53
ewtl.30,67.00,18
we.93,315.00,186
sntl.14,143.00,22
we.94,311.00,180
wetr.35,320.00,187
we.95,307.00,170
wetl.34,344.00,202
we.96,300.00,160
ewtl.31,49.00,0
wetr.36,302.00,162
we.97,297.00,154
we.98,290.00,147
wetl.35,329.00,182
wetr.37,291.00,152
ew.59,121.00,40
ew.60,104.00,21
wetl.36,319.00,157
ew.61,90.00,5
ewtr.30,103.00,34
sntr.15,105.00,39
ew.62,76.00,0
ewtr.31,73.00,8
sn.15,119.00,42
nstl.16,45.00,0
ns.16,57.00,0
sn.16,58.00,0
nstr.15,154.00,56
ewtl.32,81.00,35
sntl.15,156.00,42
we.99,345.00,204
nstr.16,86.00,0
we.100,341.00,201
ewtl.33,52.00,1
we.101,335.00,203
we.102,323.00,191
wetr.38,339.00,202
we.103,322.00,190
sntl.16,98.00,0
we.104,317.00,184
we.105,311.00,176
wetl.37,366.00,209
we.106,305.00,171
wetr.39,324.00,176
wetl.38,349.00,196
wetl.39,328.00,175
wetr.40,311.00,164
ewtr.32,112.00,49
ew.63,142.00,54
ew.64,126.00,41
ew.65,110.00,25
ewtr.33,87.00,19
ew.66,94.00,11
sntr.16,124.00,57
sntr.17,54.00,0
nstl.17,58.00,6
ns.17,70.00,10
sn.17,70.00,0
nstr.17,100.00,4
we.107,360.00,226
sntl.17,103.00,0
we.108,358.00,220
we.109,351.00,210
ewtl.34,107.00,52
ewtl.35,73.00,21
we.110,350.00,201
wetl.40,378.00,228
we.111,343.00,199
we.112,329.00,198
ewtl.36,45.00,0
wetr.41,362.00,212
we.113,325.00,190
wetr.42,332.00,195
we.114,324.00,187
wetl.41,367.00,203
wetr.43,323.00,192
wetl.42,344.00,194
ew.67,162.00,68
sntr.18,66.00,11
ew.68,146.00,54
ewtr.34,140.00,70
ew.69,128.00,44
ew.70,113.00,29
nstl.18,71.00,21
wetl.43,341.00,189
ewtr.35,111.00,38
sn.18,82.00,10
ns.18,96.00,24
nstr.18,115.00,22
we.115,378.00,241
we.116,372.00,235
we.117,368.00,229
sntl.18,123.00,6
ewtl.37,88.00,35
we.118,367.00,217
we.119,360.00,207
we.120,353.00,199
ewtl.38,67.00,12
we.121,350.00,191
wetr.44,384.00,229
we.122,342.00,191
wetr.45,358.00,196
wetr.46,342.00,191
wetl.44,389.00,221
ewtr.36,157.00,75
sntr.19,86.00,24
wetl.45,375.00,195
nstl.19,88.00,42
ewtr.37,124.00,49
ewtr.38,94.00,16
ew.71,192.00,76
ew.72,176.00,67
sn.19,104.00,23
ew.73,160.00,54
ew.74,144.00,44
ns.19,108.00,45
ew.75,127.00,37
ew.76,116.00,18
nstl.20,45.00,0
ns.20,59.00,0
nstr.19,132.00,39
sntl.19,133.00,23
we.123,400.00,249
we.124,396.00,246
ewtl.39,107.00,54
we.125,390.00,243
ewtl.40,72.00,20
nstr.20,75.00,0
wetr.47,391.00,243
wetl.46,411.00,250
we.126,388.00,233
we.127,380.00,224
