vehicleId,tripDuration,totalWaitingTime
nstl.0,39.00,0
ewtl.0,57.00,7
ewtr.0,72.00,6
sntr.0,82.00,19
nstl.1,63.00,15
sn.0,94.00,26
ew.0,95.00,10
sntr.1,55.00,0
sn_bus.0,90.00,18
nstl.2,51.00,0
sn.1,85.00,14
sn.2,69.00,0
ns.0,109.00,38
ns.1,102.00,34
ns.2,102.00,23
ns.3,92.00,19
ns.4,88.00,11
ns.5,81.00,5
ns.6,75.00,0
we.0,129.00,38
nstr.0,127.00,37
ns.7,68.00,0
ewtl.1,56.00,9
nstr.1,110.00,22
wetr.0,131.00,37
nstr.2,91.00,4
we.1,72.00,0
wetl.0,141.00,37
sntl.0,148.00,42
sntl.1,113.00,8
ewtr.1,76.00,3
sntr.2,82.00,28
wetr.1,86.00,0
ew.1,91.00,11
sn.3,112.00,47
sn.4,97.00,34
sntr.3,63.00,0
sn.5,88.00,13
sn.6,72.00,0
nstl.3,103.00,45
nstl.4,84.00,25
nstl.5,62.00,9
ns.8,114.00,41
ns.9,107.00,36
nstl.6,40.00,0
ns.10,104.00,26
ns.11,93.00,22
ns.12,89.00,15
nstr.3,125.00,40
ns.13,85.00,7
ns.14,77.00,2
nstr.4,109.00,26
ns.15,70.00,0
ewtl.2,61.00,10
we.2,67.00,0
wetl.1,142.00,39
wetr.2,79.00,0
ewtr.2,77.00,6
nstr.5,110.00,5
sntl.2,156.00,41
sntl.3,122.00,9
sntr.4,85.00,20
sntr.5,51.00,0
sn.7,112.00,47
nstl.7,72.00,25
ew.2,100.00,10
ew_bus.0,92.00,3
sn.8,102.00,25
sn.9,85.00,20
nstl.8,52.00,3
ns.16,110.00,41
ns.17,103.00,38
ns.18,102.00,25
ns.19,92.00,21
ns.20,88.00,15
nstr.6,122.00,39
ns.21,80.00,8
nstr.7,106.00,25
ns.22,79.00,0
ns.23,72.00,0
ewtl.3,61.00,8
we.3,71.00,0
wetl.2,140.00,35
ewtr.3,72.00,7
wetr.3,75.00,0
nstr.8,109.00,3
sntl.4,156.00,39
sntl.5,122.00,12
sntr.6,85.00,27
ew.3,93.00,14
sntr.7,51.00,0
nstl.9,95.00,40
sn.10,139.00,56
nstl.10,81.00,23
ns.24,109.00,44
nstl.11,59.00,5
sn.11,130.00,32
ns.25,104.00,38
sn.12,114.00,31
ns.26,97.00,31
sn.13,98.00,21
ns.27,87.00,23
sn.14,81.00,4
nstl.12,43.00,0
ns.28,87.00,18
ns.29,79.00,11
ns.30,72.00,6
ns.31,66.00,0
nstr.9,128.00,43
ns.32,59.00,0
nstr.10,112.00,26
ewtl.4,62.00,13
wetl.3,145.00,44
ewtr.4,74.00,12
nstr.11,106.00,7
sntl.6,156.00,43
sntl.7,121.00,12
ew.4,93.00,18
sntr.8,89.00,28
sn.15,115.00,49
sntr_bus.0,87.00,21
sn.16,102.00,33
sntr.9,60.00,0
nstl.13,79.00,26
nstl.14,57.00,7
sn.17,92.00,16
sn.18,75.00,3
ns.33,107.00,39
ns.34,99.00,31
ns.35,94.00,22
ns.36,89.00,16
ns.37,82.00,13
nstl.15,49.00,0
nstr.12,126.00,44
ns.38,75.00,5
ns.39,67.00,0
we.4,131.00,45
ewtl.5,58.00,9
wetr.4,139.00,35
nstr.13,121.00,24
ewtr.5,67.00,10
nstr.14,99.00,10
wetl.4,146.00,34
sntl.8,154.00,43
sntl.9,120.00,7
ew.5,91.00,14
sn.19,114.00,43
sntr.10,90.00,15
sntr.11,56.00,0
sn.20,101.00,27
nstl.16,74.00,26
sn.21,85.00,17
sn.22,69.00,0
nstl.17,57.00,2
ns.40,111.00,42
ns.41,103.00,37
nstl.18,37.00,0
ns.42,101.00,26
ns.43,91.00,20
ns.44,86.00,16
ns.45,79.00,11
ns.46,72.00,4
ns.47,65.00,0
ewtl.6,55.00,6
we.5,129.00,46
wetr.5,130.00,44
nstr.15,133.00,40
nstr.16,114.00,24
nstr.17,96.00,9
sntl.10,148.00,40
wetl.5,149.00,34
sntl.11,117.00,9
ewtr.6,82.00,7
sntr.12,85.00,20
nstl.19,67.00,19
sn.23,115.00,40
sn.24,98.00,30
sntr.13,60.00,0
sn.25,85.00,11
sn.26,69.00,0
ew.6,108.00,9
ns.48,108.00,41
nstl.20,57.00,0
ns.49,100.00,34
ns.50,93.00,28
ns.51,87.00,19
ns.52,83.00,15
nstl.21,44.00,0
we.6,124.00,41
ns.53,84.00,5
ns.54,76.00,0
ns.55,69.00,0
ewtl.7,61.00,5
we_bus.0,117.00,28
wetr.6,131.00,40
we.7,68.00,0
nstr.18,138.00,35
nstr.19,119.00,25
nstr.20,96.00,4
sntl.12,143.00,42
wetl.6,138.00,39
sntl.13,109.00,9
ew.7,85.00,12
ewtr.7,82.00,12
wetr.7,85.00,0
