vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ewtl.0,58.00,8
ns.0,65.00,0
ewtr.0,73.00,7
sntr.0,75.00,11
nstl.1,55.00,5
nstr.0,83.00,0
sn.0,86.00,18
sn_bus.0,82.00,9
ns.1,86.00,23
sn.1,77.00,6
ew.0,96.00,11
sn.2,60.00,0
sntr.1,56.00,0
nstl.2,50.00,0
ns.2,90.00,12
sn.3,55.00,0
ns.3,80.00,8
ns.4,75.00,0
ns.5,68.00,0
nstr.1,98.00,11
ns.6,71.00,0
nstr.2,79.00,0
we.0,128.00,37
ewtl.1,55.00,7
ns.7,68.00,0
sntl.0,130.00,24
sntl.1,95.00,0
wetr.0,131.00,35
ns.8,69.00,0
wetl.0,141.00,35
sntr.2,69.00,15
ewtr.1,77.00,4
sn.4,83.00,18
nstl.3,81.00,25
ew.1,90.00,10
nstl.4,63.00,4
sn.5,73.00,0
sn.6,60.00,0
ns.9,89.00,22
nstl.5,49.00,0
sntr.3,63.00,0
ns.10,88.00,11
ns.11,78.00,7
ns.12,73.00,0
sn.7,55.00,0
nstr.3,110.00,26
nstr.4,94.00,10
ns.13,73.00,0
ns.14,66.00,0
we.1,123.00,46
ns.15,66.00,0
ewtl.2,55.00,4
sntl.2,130.00,17
wetr.1,135.00,41
we.2,67.00,0
nstr.5,99.00,0
sntl.3,110.00,4
ewtr.2,71.00,2
sntr.4,72.00,7
wetl.1,146.00,38
nstl.6,76.00,26
nstl.7,57.00,5
sn.8,87.00,9
sn.9,71.00,4
sntr.5,50.00,0
ew.2,94.00,6
ew_bus.0,86.00,0
ns.16,96.00,28
nstl.8,45.00,0
ns.17,89.00,23
ns.18,88.00,12
ns.19,77.00,6
ns.20,73.00,1
nstr.6,107.00,28
sn.10,74.00,0
ns.21,66.00,0
nstr.7,91.00,10
sntl.4,123.00,29
ns.22,72.00,0
ns.23,65.00,0
ewtl.3,54.00,1
wetr.2,128.00,39
wetl.2,137.00,34
ewtr.3,67.00,1
sntr.6,67.00,10
nstr.8,100.00,0
sntl.5,111.00,0
nstl.9,75.00,21
nstl.10,56.00,2
ew.3,86.00,5
ns.24,91.00,27
sn.11,109.00,13
sn.12,93.00,13
sntr.7,51.00,0
sn.13,76.00,0
ns.25,86.00,20
sn.14,60.00,0
ns.26,79.00,13
nstl.11,47.00,0
ns.27,69.00,3
ns.28,69.00,0
ns.29,62.00,0
sn.15,56.00,0
ns.30,58.00,0
nstr.9,110.00,24
nstr.10,94.00,8
nstl.12,45.00,0
ns.31,61.00,0
ns.32,56.00,0
sntl.6,132.00,19
sn.16,65.00,0
we.3,139.00,62
nstr.11,93.00,0
sntl.7,104.00,2
ewtl.4,67.00,20
ns.33,64.00,0
wetr.3,141.00,59
nstr.12,77.00,0
we.4,82.00,0
ewtr.4,78.00,19
wetl.3,154.00,54
sntr.8,86.00,24
sntr_bus.0,86.00,17
ew.4,99.00,24
sntr.9,58.00,0
nstl.13,75.00,24
sn.17,84.00,8
sn.18,68.00,0
nstl.14,54.00,4
ns.34,93.00,26
sn.19,63.00,0
ns.35,88.00,14
ns.36,84.00,12
ns.37,77.00,7
ns.38,70.00,0
ns.39,62.00,0
nstl.15,48.00,0
ns.40,63.00,0
ns.41,58.00,0
nstr.13,116.00,20
nstr.14,93.00,5
ewtl.5,66.00,20
wetr.4,144.00,39
we.5,79.00,0
sntl.8,149.00,39
sntl.9,115.00,9
wetr.5,81.00,0
wetl.4,149.00,39
ewtr.5,81.00,19
nstr.15,89.00,0
sntr.10,89.00,13
nstl.16,69.00,17
sn.20,98.00,24
sntr.11,56.00,0
ew.5,100.00,23
sn.21,82.00,14
sn.22,66.00,0
nstl.17,51.00,0
ns.42,95.00,22
ns.43,85.00,15
ns.44,81.00,10
ns.45,73.00,5
nstl.18,40.00,0
ns.46,66.00,0
sn.23,67.00,0
ns.47,60.00,0
nstr.16,102.00,21
sn.24,60.00,0
ns.48,61.00,0
ewtl.6,62.00,15
nstr.17,90.00,2
ns.49,57.00,0
sntl.10,143.00,36
sntl.11,112.00,9
we.6,79.00,0
wetr.6,82.00,0
wetl.5,153.00,41
sntr.12,84.00,17
ewtr.6,84.00,11
nstl.19,68.00,16
sn.25,80.00,6
nstr.18,96.00,0
sn.26,64.00,0
sntr.13,59.00,0
ns.50,87.00,23
nstl.20,57.00,1
ns.51,81.00,12
ns.52,76.00,10
ew.6,117.00,15
ns.53,76.00,0
nstr.19,98.00,19
ns.54,69.00,0
sn.27,69.00,0
sn.28,54.00,0
