vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ns.0,65.00,0
ewtl.0,68.00,18
nstr.0,83.00,0
we.0,86.00,0
ewtr.0,81.00,17
wetr.0,89.00,0
ew.0,105.00,21
wetl.0,99.00,0
sntr.0,104.00,41
sntr.1,70.00,9
sn.0,116.00,48
sn_bus.0,112.00,39
nstl.1,96.00,47
sn.1,106.00,36
sn.2,90.00,21
ns.1,117.00,53
nstl.2,76.00,21
sntr.2,51.00,0
nstl.3,55.00,1
ns.2,120.00,42
ns.3,109.00,38
ns.4,105.00,31
sn.3,88.00,15
ns.5,98.00,23
ns.6,94.00,18
nstl.4,49.00,0
ns.7,87.00,11
ns.8,80.00,3
nstr.1,128.00,41
ns.9,72.00,0
we.1,83.00,6
nstr.2,110.00,22
ewtl.1,85.00,36
ns.10,72.00,0
nstr.3,89.00,2
wetr.1,90.00,0
sntl.0,170.00,65
nstr.4,79.00,0
sntl.1,138.00,33
wetl.1,101.00,0
ewtr.1,106.00,35
ew.1,120.00,39
sntr.3,88.00,20
nstl.5,81.00,27
sn.4,133.00,61
sntr.4,59.00,0
nstl.6,61.00,9
sn.5,122.00,47
nstl.7,42.00,0
sn.6,106.00,36
ewtr.2,65.00,0
ns.11,116.00,50
ns.12,113.00,45
ew.2,85.00,0
ns.13,112.00,35
ns.14,105.00,30
ns.15,98.00,23
ns.16,90.00,16
ns.17,83.00,12
nstl.8,43.00,0
ns.18,80.00,3
ns.19,69.00,0
we.2,100.00,27
ns.20,65.00,0
ewtl.2,104.00,53
nstr.5,136.00,32
nstr.6,111.00,17
wetr.2,111.00,23
nstr.7,92.00,1
ewtl.3,48.00,0
wetl.2,117.00,13
sntl.2,195.00,77
sntl.3,160.00,50
ewtr.3,57.00,0
ew_bus.0,132.00,42
sntr.5,103.00,46
ew.3,75.00,0
sntr.6,69.00,10
sn.7,168.00,94
nstl.9,75.00,22
nstl.10,57.00,2
sn.8,158.00,70
sn.9,141.00,67
ns.21,120.00,52
sntr.7,51.00,0
nstl.11,47.00,0
ns.22,121.00,44
ns.23,113.00,39
ns.24,106.00,31
ns.25,99.00,26
ns.26,91.00,21
ns.27,81.00,11
ns.28,77.00,6
ns.29,70.00,0
ns.30,62.00,0
we.3,119.00,42
ewtl.4,43.00,0
wetr.3,122.00,42
nstr.8,151.00,47
nstr.9,126.00,30
nstr.10,107.00,15
ewtr.4,56.00,0
wetl.3,136.00,36
nstr.11,96.00,0
sntl.4,214.00,87
sntl.5,180.00,69
ew.4,76.00,1
sntr.8,86.00,24
sntr_bus.0,85.00,18
sntr.9,58.00,0
sn.10,210.00,116
nstl.12,101.00,49
nstl.13,82.00,30
ns.31,119.00,54
nstl.14,59.00,9
ns.32,112.00,47
sn.11,202.00,93
sn.12,186.00,91
sn.13,169.00,73
sn.14,153.00,67
ns.33,109.00,37
ns.34,101.00,32
ns.35,96.00,20
nstl.15,48.00,0
ns.36,92.00,20
ns.37,85.00,14
ns.38,77.00,3
ns.39,70.00,0
nstr.12,130.00,43
ns.40,63.00,0
we.4,139.00,52
ewtl.5,66.00,19
nstr.13,124.00,24
nstr.14,101.00,10
wetr.4,146.00,43
we.5,79.00,0
wetr.5,79.00,0
wetl.4,153.00,44
ewtr.5,83.00,21
sntl.6,231.00,103
sntl.7,197.00,86
ew.5,99.00,22
sn.15,203.00,126
sntr.10,109.00,32
sntr.11,75.00,10
sn.16,190.00,107
nstl.16,93.00,47
sn.17,179.00,88
sn.18,162.00,77
nstl.17,75.00,16
ns.41,118.00,55
nstl.18,50.00,0
ns.42,119.00,45
ns.43,108.00,39
sntr.12,61.00,0
ns.44,104.00,34
nstl.19,42.00,0
ns.45,97.00,28
ns.46,89.00,22
ns.47,82.00,13
ns.48,76.00,7
ns.49,69.00,0
ns.50,62.00,0
nstr.15,151.00,56
nstr.16,132.00,44
ewtl.6,82.00,35
we.6,86.00,3
nstr.17,115.00,25
wetr.6,89.00,0
we_bus.0,79.00,0
wetl.5,169.00,54
nstr.18,107.00,3
ewtr.6,105.00,33
nstr.19,88.00,0
wetl.6,105.00,0
sntl.8,255.00,125
sntl.9,220.00,93
sntr.13,88.00,22
sn.19,223.00,136
sntr.14,57.00,0
ew.6,137.00,36
ew.7,67.00,0
sn.20,211.00,122
ewtr.7,62.00,0
sn.21,195.00,110
sn.22,179.00,90
nstl.20,92.00,32
nstl.21,67.00,11
ns.51,117.00,49
nstl.22,48.00,0
ns.52,113.00,48
ns.53,113.00,34
ns.54,106.00,28
ns.55,99.00,24
nstl.23,39.00,0
ns.56,91.00,17
ns.57,84.00,12
ns.58,80.00,3
nstr.20,123.00,32
we.7,100.00,27
ns.59,74.00,0
ns.60,69.00,0
nstr.21,104.00,16
nstr.22,85.00,2
ewtl.7,108.00,51
wetr.7,110.00,16
ewtl.8,37.00,0
sntl.10,262.00,140
wetl.7,117.00,16
sntl.11,232.00,106
ewtr.8,61.00,0
sntr.15,104.00,44
sntr.16,71.00,5
nstl.24,74.00,22
ew.8,78.00,0
sn.23,244.00,150
sn.24,227.00,133
nstl.25,59.00,8
sn.25,216.00,124
sn.26,199.00,111
nstl.26,45.00,0
ns.61,126.00,49
ns.62,119.00,45
ns.63,112.00,39
sntr.17,62.00,0
ns.64,105.00,30
ns.65,98.00,28
ns.66,90.00,21
ns.67,80.00,10
ns.68,75.00,8
ns.69,68.00,0
ns.70,63.00,0
nstr.23,144.00,49
nstr.24,119.00,29
ewtl.9,45.00,0
we.8,122.00,33
wetr.8,124.00,32
nstr.25,108.00,12
nstr.26,86.00,0
sntl.12,277.00,149
sntl.13,242.00,125
ewtr.9,58.00,0
wetl.8,134.00,31
ew.9,82.00,0
sntr.18,85.00,28
sntr.19,53.00,0
sn.27,263.00,164
sn.28,247.00,150
nstl.27,99.00,44
nstl.28,80.00,24
nstl.29,58.00,6
sn.29,236.00,126
sn.30,220.00,116
ns.71,124.00,50
ns.72,116.00,45
ns.73,109.00,40
ns.74,104.00,31
ns.75,93.00,25
nstl.30,49.00,0
ns.76,92.00,19
ns.77,85.00,12
ns.78,78.00,6
nstr.27,130.00,44
ns.79,73.00,0
ns.80,65.00,0
ns.81,58.00,0
ewtl.10,64.00,20
we.9,140.00,51
nstr.28,119.00,28
wetr.9,142.00,51
we.10,80.00,0
ewtr.10,83.00,15
nstr.29,113.00,8
wetl.9,157.00,49
nstr.30,88.00,0
wetr.10,88.00,0
sntl.14,306.00,168
sntl.15,272.00,140
ew.10,101.00,22
wetl.10,99.00,0
sntr.20,103.00,44
sntr.21,69.00,11
nstl.31,86.00,38
sn.31,277.00,189
sn.32,264.00,162
sn.33,248.00,150
nstl.32,71.00,19
ns.82,109.00,45
nstl.33,49.00,0
sn.34,236.00,126
ns.83,99.00,32
ns.84,98.00,30
ns.85,95.00,22
sn.35,231.00,135
ns.86,88.00,18
sn.36,215.00,124
nstl.34,44.00,0
ns.87,81.00,11
ns.88,78.00,2
ns.89,71.00,0
ns.90,64.00,0
we.11,84.00,3
ewtl.11,84.00,37
nstr.31,144.00,32
nstr.32,122.00,20
wetr.11,95.00,0
nstr.33,97.00,0
sntl.16,314.00,172
sntl.17,280.00,135
sntl.18,246.00,121
ewtr.11,111.00,29
wetl.11,113.00,0
ew.11,122.00,40
sntr.22,125.00,54
sntr.23,90.00,28
sn.37,260.00,163
sn.38,243.00,142
ewtr.12,63.00,0
sn.39,231.00,126
sntr.24,63.00,0
nstl.35,92.00,40
nstl.36,68.00,13
ew.12,75.00,0
ns.91,117.00,51
nstl.37,50.00,0
ns.92,115.00,46
ns.93,108.00,40
ns.94,101.00,34
ns.95,100.00,24
ns.96,93.00,19
nstl.38,44.00,0
ns.97,88.00,13
ns.98,81.00,5
ns.99,71.00,0
we.12,102.00,19
ns.100,67.00,0
nstr.34,152.00,53
nstr.35,130.00,40
ewtl.12,105.00,53
wetr.12,107.00,20
nstr.36,110.00,17
nstr.37,91.00,1
ewtl.13,41.00,0
wetl.12,123.00,10
sntl.19,307.00,159
sntl.20,272.00,132
ew_bus.1,131.00,42
ewtr.13,65.00,0
ew.13,72.00,0
sntr.25,104.00,44
sntr.26,70.00,9
sn.40,304.00,178
nstl.39,82.00,25
sn_bus.1,296.00,176
sn.41,291.00,170
sn.42,274.00,162
nstl.40,67.00,11
sn.43,258.00,150
ns.101,125.00,49
sn.44,242.00,128
nstl.41,47.00,0
ns.102,118.00,45
ns.103,111.00,39
nstr.38,128.00,48
ns.104,114.00,25
ns.105,107.00,25
nstr.39,114.00,25
ns.106,99.00,21
ns.107,89.00,10
ewtl.14,41.00,0
ns.108,85.00,5
we.13,121.00,34
ns.109,78.00,0
ns.110,71.00,0
nstr.40,107.00,14
wetr.13,129.00,28
nstr.41,85.00,0
wetl.13,133.00,27
sntl.21,317.00,170
sntl.22,283.00,130
ewtr.14,62.00,2
we.14,73.00,0
ew.14,82.00,0
wetr.14,82.00,0
sntr.27,125.00,53
sn.45,295.00,181
sntr.28,91.00,27
sn.46,278.00,171
sntr_bus.1,87.00,19
nstl.42,99.00,43
sn.47,270.00,154
sn.48,254.00,140
ns.111,119.00,53
sntr.29,70.00,0
nstl.43,86.00,24
nstl.44,65.00,6
ns.112,116.00,44
ns.113,111.00,39
ns.114,104.00,31
ns.115,93.00,22
ns.116,89.00,19
ns.117,81.00,14
nstl.45,49.00,0
nstr.42,128.00,43
ns.118,80.00,5
ns.119,72.00,0
nstr.43,112.00,28
ns.120,65.00,0
ewtl.15,66.00,19
nstr.44,97.00,11
we.15,82.00,0
wetl.14,150.00,46
ewtr.15,81.00,18
wetr.15,86.00,0
wetl.15,92.00,0
sntl.23,352.00,182
sntl.24,318.00,156
ew.15,106.00,21
sntr.30,105.00,40
sn.49,311.00,200
sntr.31,71.00,7
sn.50,296.00,189
sn.51,281.00,179
nstl.46,93.00,46
sn.52,266.00,166
nstl.47,72.00,20
nstl.48,47.00,0
ns.121,122.00,54
ns.122,115.00,49
ns.123,111.00,35
sntr.32,64.00,0
ns.124,107.00,34
nstl.49,47.00,0
ns.125,102.00,22
ns.126,97.00,18
ns.127,90.00,11
ns.128,82.00,6
ns.129,75.00,2
nstr.45,154.00,56
nstr.46,134.00,43
ns.130,68.00,0
ewtl.16,83.00,38
nstr.47,112.00,23
nstr.48,86.00,5
we.16,92.00,0
we_bus.1,78.00,0
ewtr.16,93.00,36
wetr.16,95.00,0
sntl.25,355.00,210
sntl.26,321.00,182
wetl.16,112.00,0
ew.16,123.00,38
sntr.33,86.00,26
sntr.34,51.00,0
nstl.50,83.00,31
ewtr.17,57.00,0
sn.53,335.00,221
sn.54,318.00,206
sn.55,302.00,183
nstl.51,63.00,7
sn.56,286.00,182
nstl.52,43.00,0
ns.131,119.00,52
ns.132,114.00,50
ns.133,107.00,40
ew.17,82.00,0
ns.134,105.00,32
ns.135,98.00,27
ns.136,90.00,22
sn.57,288.00,189
nstr.49,140.00,54
ns.137,83.00,15
ns.138,76.00,7
ns.139,66.00,0
nstr.50,123.00,38
we.17,101.00,24
ns.140,70.00,0
ewtl.17,107.00,52
wetr.17,109.00,20
nstr.51,114.00,17
wetl.17,111.00,20
ewtl.18,45.00,0
nstr.52,98.00,0
sntl.27,373.00,215
sntl.28,349.00,195
ew.18,71.00,0
ewtr.18,68.00,0
sntr.35,105.00,41
sntr.36,71.00,15
sn.58,333.00,219
sn.59,319.00,197
nstl.53,108.00,51
nstl.54,82.00,27
sn.60,306.00,183
nstl.55,63.00,7
ns.141,120.00,51
ns.142,115.00,47
ns.143,108.00,38
nstl.56,51.00,0
ns.144,104.00,32
sntr.37,62.00,0
ns.145,96.00,29
ns.146,89.00,20
