vehicleId,tripDuration,totalWaitingTime
ew.0,68.00,0
ns.0,76.00,6
ns.1,65.00,0
ew.1,76.00,0
ns.2,64.00,0
ns.3,63.00,0
bus0,124.00,26
ew.2,121.00,40
ns.4,87.00,24
ew.3,119.00,32
ew.4,114.00,30
ew.5,110.00,25
ew.6,106.00,23
ew.7,102.00,16
ns.5,85.00,9
ns.6,74.00,1
we.0,142.00,47
ew.8,99.00,11
we.1,140.00,44
ew.9,94.00,7
ns.7,64.00,0
we.2,139.00,37
ew.10,92.00,2
we.3,135.00,34
ew.11,88.00,0
we.4,130.00,33
we.5,128.00,21
we.6,124.00,20
we.7,120.00,18
we.8,115.00,17
we.9,111.00,17
ew.12,115.00,25
ns.8,91.00,26
ew.13,110.00,25
ns.9,80.00,15
ew.14,106.00,20
we.10,133.00,43
ew.15,104.00,13
ew.16,101.00,11
ns.10,78.00,0
we.11,133.00,33
ew.17,98.00,5
ns.11,68.00,0
ew.18,93.00,3
we.12,129.00,30
ns.12,58.00,0
we.13,124.00,30
ew.19,89.00,0
we.14,120.00,24
ew.20,85.00,0
we.15,116.00,23
we.16,114.00,19
we.17,109.00,17
we.18,105.00,16
we.19,101.00,14
ew.21,100.00,26
ew.22,97.00,21
ns.13,85.00,13
ns.14,75.00,5
ew.23,108.00,13
ew.24,101.00,9
ew.25,95.00,1
we.20,129.00,25
we.21,125.00,23
ew.26,94.00,0
we.22,119.00,23
ew.27,88.00,0
we.23,110.00,23
ew.28,87.00,0
ns.15,75.00,0
ns.16,64.00,0
we.24,108.00,20
we.25,104.00,18
we.26,102.00,12
we.27,99.00,12
we.28,95.00,12
we.29,90.00,8
ew.29,111.00,25
ew.30,107.00,24
ns.17,83.00,17
ns.18,73.00,8
ns.19,63.00,0
we.30,114.00,29
we.31,109.00,24
ns.20,58.00,0
ew.31,114.00,14
we.32,110.00,15
we.33,102.00,15
we.34,100.00,10
we.35,97.00,7
we.36,93.00,7
we.37,88.00,2
we.38,83.00,0
we.39,80.00,0
we.40,76.00,0
ew.32,126.00,6
ew.33,118.00,6
ew.34,116.00,3
ew.35,113.00,0
ew.36,110.00,0
ew.37,106.00,0
ew.38,102.00,24
ew.39,98.00,18
ns.21,83.00,22
ew.40,97.00,12
ns.22,73.00,11
ew.41,92.00,11
ns.23,68.00,0
ns.24,62.00,0
ew.42,88.00,0
ew.43,87.00,0
ew.44,85.00,0
ew.45,84.00,0
we.41,110.00,34
ns.25,62.00,0
we.42,109.00,27
we.43,106.00,24
we.44,102.00,18
we.45,98.00,16
we.46,95.00,5
we.47,91.00,2
we.48,87.00,1
we.49,83.00,0
ew.46,122.00,39
ns.26,88.00,23
ns.27,78.00,16
ns.28,71.00,2
ew.47,128.00,33
ew.48,123.00,32
ew.49,119.00,25
ew.50,112.00,17
ew.51,101.00,8
ew.52,100.00,6
ew.53,98.00,4
ew.54,98.00,2
we.50,123.00,33
ew.55,94.00,0
we.51,119.00,31
ns.29,78.00,0
we.52,114.00,31
ns.30,67.00,0
we.53,108.00,23
we.54,98.00,11
we.55,94.00,10
we.56,93.00,3
we.57,92.00,0
we.58,90.00,0
ns.31,89.00,25
ew.56,126.00,38
ew.57,122.00,35
ew.58,117.00,33
ew.59,113.00,29
ns.32,83.00,13
ew.60,101.00,15
ns.33,73.00,6
ew.61,99.00,13
ns.34,63.00,0
ew.62,95.00,9
ew.63,94.00,7
we.59,119.00,25
ew.64,92.00,6
we.60,116.00,24
we.61,112.00,22
we.62,107.00,21
we.63,103.00,18
ew.65,93.00,0
