vehicleId,tripDuration,totalWaitingTime
nstl.0,39.00,0
ewtl.0,57.00,6
ewtr.0,72.00,6
sntr.0,82.00,20
sn.0,94.00,26
ew.0,95.00,10
ew.1,79.00,0
sn_bus.0,91.00,16
ns.0,109.00,40
ewtl.1,86.00,41
we.0,125.00,34
we.1,118.00,32
ewtl.2,53.00,7
nstr.0,127.00,37
sntl.0,129.00,26
we.2,116.00,20
we.3,106.00,18
wetr.0,136.00,37
wetr.1,117.00,19
we.4,106.00,13
we.5,98.00,9
wetl.0,137.00,32
wetr.2,100.00,6
ewtl.3,39.00,0
wetl.1,124.00,18
we.6,98.00,0
we.7,91.00,0
we.8,83.00,0
we.9,78.00,0
ew.2,124.00,44
ew.3,107.00,29
ewtr.1,121.00,54
wetr.3,88.00,0
ew.4,93.00,12
wetl.2,115.00,7
wetl.3,98.00,0
sntr.1,105.00,51
ewtr.2,106.00,30
ewtr.3,73.00,4
nstl.1,112.00,59
sn.1,118.00,54
nstl.2,42.00,0
ew.5,103.00,11
ew.6,87.00,0
ew.7,70.00,0
ns.1,136.00,63
ns.2,66.00,0
nstr.1,146.00,61
we.10,132.00,39
nstr.2,76.00,0
we.11,121.00,34
ewtl.4,78.00,28
ewtl.5,44.00,0
we.12,119.00,35
we.13,116.00,20
sntl.1,162.00,50
wetr.4,142.00,47
we.14,115.00,14
we.15,108.00,13
we.16,101.00,13
wetl.4,146.00,35
wetr.5,127.00,15
we.17,95.00,4
wetr.6,107.00,9
we.18,92.00,0
we.19,82.00,0
ewtr.4,102.00,27
ewtr.5,72.00,0
wetl.5,137.00,15
we.20,80.00,0
ew.8,119.00,30
ew_bus.0,106.00,16
ew.9,104.00,15
ewtl.6,48.00,0
we.21,78.00,0
wetl.6,118.00,5
wetr.7,100.00,4
wetl.7,98.00,0
ew.10,101.00,0
ewtr.6,58.00,0
sntr.2,144.00,80
sntr.3,73.00,15
wetr.8,99.00,0
sn.2,158.00,83
nstl.3,81.00,25
sn.3,88.00,19
ns.3,94.00,31
ew.11,117.00,0
ew.12,101.00,0
ew.13,84.00,0
ewtl.7,74.00,29
nstr.3,113.00,28
sntl.2,186.00,81
ewtl.8,42.00,0
we.22,130.00,33
we.23,128.00,32
we.24,120.00,32
wetr.9,120.00,30
we.25,113.00,29
we.26,107.00,25
sntl.3,124.00,14
wetl.8,144.00,33
we.27,101.00,20
wetr.10,110.00,21
we.28,99.00,11
we.29,86.00,0
wetl.9,132.00,30
we.30,82.00,0
ewtr.7,100.00,36
we.31,79.00,0
ew.14,109.00,31
ew.15,93.00,16
wetl.10,120.00,20
ew.16,77.00,1
wetr.11,95.00,0
we.32,82.00,0
wetl.11,99.00,0
ewtl.9,45.00,0
ewtr.8,85.00,18
ewtr.9,58.00,0
wetr.12,97.00,0
sntr.4,96.00,35
ew.17,86.00,0
sntr_bus.0,96.00,27
ew.18,73.00,0
sn.4,109.00,38
nstl.4,104.00,50
ns.4,118.00,56
nstl.5,48.00,0
ns.5,63.00,0
nstr.4,137.00,53
ewtl.10,73.00,26
we.33,139.00,47
sntl.4,147.00,36
we.34,132.00,45
we.35,127.00,35
ewtl.11,45.00,0
we.36,123.00,34
we.37,115.00,33
wetl.12,157.00,48
nstr.5,89.00,0
wetr.13,140.00,38
we.38,110.00,24
wetr.14,118.00,34
we.39,103.00,22
wetl.13,142.00,37
we.40,92.00,6
wetr.15,93.00,7
we.41,89.00,0
we.42,90.00,0
ew.19,127.00,47
ew.20,110.00,31
wetl.14,131.00,25
we.43,81.00,0
wetr.16,89.00,0
ew.21,96.00,16
ewtr.10,108.00,47
we.44,77.00,0
we.45,71.00,0
ewtl.12,38.00,0
ew.22,81.00,0
wetl.15,114.00,0
wetl.16,100.00,0
wetr.17,84.00,0
ewtr.11,92.00,25
ew.23,93.00,3
ewtr.12,67.00,0
sntr.5,145.00,69
sntr.6,74.00,5
nstl.6,76.00,28
sn.5,155.00,81
sn.6,85.00,17
ns.6,93.00,26
ew.24,97.00,0
ew.25,82.00,0
ewtl.13,70.00,28
we.46,128.00,41
we.47,122.00,39
we.48,116.00,30
we.49,112.00,27
we.50,105.00,25
nstr.6,122.00,21
sntl.5,196.00,81
we_bus.0,105.00,16
ewtl.14,52.00,0
sntl.6,125.00,14
wetr.18,126.00,30
wetl.17,152.00,42
wetr.19,108.00,14
wetl.18,130.00,29
we.51,104.00,13
we.52,99.00,12
we.53,96.00,0
ew.26,108.00,30
we.54,91.00,0
wetr.20,97.00,0
we.55,86.00,0
we.56,78.00,0
ewtr.13,108.00,37
wetl.19,125.00,13
we.57,74.00,0
ewtl.15,45.00,0
ew.27,105.00,13
ew.28,88.00,0
wetr.21,87.00,0
wetl.20,115.00,0
ewtr.14,94.00,25
wetl.21,98.00,0
ewtr.15,62.00,0
sntr.7,100.00,39
sn.7,110.00,49
nstl.7,104.00,52
ew.29,97.00,0
ew.30,81.00,0
ns.7,121.00,60
nstl.8,44.00,0
ns.8,69.00,0
ewtl.16,66.00,23
nstr.7,143.00,55
we.58,128.00,34
sntl.7,145.00,45
wetr.22,124.00,32
we.59,122.00,26
nstr.8,79.00,0
ewtl.17,41.00,0
we.60,118.00,24
we.61,111.00,16
we.62,103.00,13
we.63,98.00,12
wetr.23,117.00,14
we.64,93.00,0
wetl.22,138.00,32
we.65,86.00,0
wetr.24,95.00,0
we.66,80.00,0
wetl.23,119.00,13
ew.31,124.00,44
ew.32,112.00,28
ew.33,96.00,14
ewtr.16,103.00,32
wetr.25,91.00,0
wetl.24,110.00,0
sntr.8,114.00,51
ew.34,85.00,0
ewtr.17,81.00,10
nstl.9,48.00,0
sn.8,127.00,55
sntr.9,54.00,0
sn.9,62.00,0
ew.35,81.00,0
ns.9,65.00,0
nstr.9,81.00,0
we.67,127.00,41
ewtl.18,81.00,34
