vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ns.0,65.00,0
ewtl.0,70.00,19
ewtl.1,40.00,0
nstr.0,84.00,0
bus0,87.00,0
ewtr.0,85.00,17
we.0,87.00,0
we.1,79.00,0
sntl.0,96.00,0
wetr.0,92.00,0
ewtr.1,58.00,0
ew.0,105.00,22
ew.1,91.00,7
wetl.0,98.00,0
ew.2,75.00,0
sntr.0,106.00,44
sn.0,116.00,49
ew.3,68.00,0
nstl.1,47.00,0
sntr.1,49.00,0
sn.1,58.00,0
ns.1,69.00,0
nstr.1,79.00,0
we.2,141.00,46
we.3,131.00,43
ewtl.2,87.00,39
we.4,129.00,41
wetr.1,142.00,45
we.5,122.00,32
ewtl.3,56.00,8
wetr.2,125.00,32
wetl.1,148.00,45
we.6,121.00,25
we.7,113.00,20
we.8,106.00,20
sntl.1,104.00,0
we.9,101.00,12
wetr.3,110.00,14
we.10,97.00,3
wetl.2,137.00,31
ew.4,120.00,40
wetr.4,96.00,2
wetl.3,121.00,12
nstl.2,50.00,2
ew.5,114.00,21
ew.6,100.00,10
ewtr.2,131.00,58
sntr.2,59.00,0
ewtr.3,96.00,19
sn.2,72.00,0
ns.2,76.00,7
nstr.2,87.00,6
sntl.2,90.00,0
we.11,145.00,51
we.12,139.00,50
we.13,138.00,42
ewtl.4,109.00,52
we.14,131.00,35
we.15,126.00,35
ewtl.5,74.00,22
we.16,118.00,34
we.17,113.00,27
wetl.4,169.00,52
we.18,110.00,15
wetr.5,150.00,40
wetr.6,126.00,33
wetl.5,152.00,37
wetr.7,109.00,14
ew.7,151.00,68
wetl.6,136.00,29
ew.8,147.00,53
sntr.3,69.00,10
ew.9,131.00,47
nstl.3,74.00,19
sn.3,80.00,11
ewtr.4,147.00,67
ewtr.5,109.00,33
ew.10,124.00,25
ns.3,90.00,26
nstr.3,110.00,24
we.19,162.00,71
sntl.3,119.00,8
we.20,160.00,64
we.21,153.00,59
wetl.7,176.00,75
ewtl.6,128.00,64
ewtl.7,95.00,46
we.22,152.00,53
we.23,144.00,54
we.24,138.00,53
ewtl.8,68.00,17
ewtr.6,138.00,62
wetl.8,167.00,54
wetr.8,178.00,64
ewtr.7,110.00,42
wetr.9,153.00,54
ewtr.8,80.00,13
wetl.9,159.00,51
sntr.4,89.00,27
nstl.4,91.00,39
sn.4,99.00,30
ns.4,107.00,45
ew.11,203.00,75
ew.12,189.00,64
ew.13,173.00,58
ew.14,156.00,49
ew.15,140.00,35
ew.16,124.00,20
ew.17,108.00,4
nstl.5,49.00,0
ew.18,92.00,0
nstr.4,127.00,43
ns.5,63.00,0
we.25,200.00,108
sntl.4,136.00,27
we.26,193.00,100
ewtl.9,104.00,54
we.27,186.00,93
we.28,184.00,84
ewtl.10,74.00,24
we.29,177.00,75
wetr.10,201.00,97
we.30,172.00,65
we.31,166.00,64
ewtl.11,48.00,0
ewtr.9,117.00,51
wetl.10,205.00,94
we.32,161.00,54
nstr.5,89.00,0
wetr.11,189.00,69
we.33,155.00,63
sntl.5,94.00,0
wetl.11,190.00,67
wetr.12,166.00,52
ew.19,124.00,42
ew.20,107.00,26
wetl.12,174.00,63
ewtr.10,106.00,40
ew.21,97.00,13
ewtr.11,74.00,10
sntr.5,110.00,35
nstl.6,40.00,0
ew.22,83.00,0
sn.5,119.00,44
sn.6,60.00,0
ns.6,61.00,0
sntr.6,61.00,0
we.34,210.00,118
ewtl.12,83.00,37
we.35,206.00,104
we.36,201.00,103
we.37,194.00,100
ewtl.13,57.00,10
nstr.6,97.00,0
sntl.6,99.00,0
wetl.13,221.00,106
we.38,193.00,88
wetr.13,227.00,115
we.39,188.00,87
wetr.14,203.00,96
we.40,181.00,76
wetr.15,182.00,75
ewtr.12,114.00,38
ew.23,143.00,51
wetl.14,217.00,90
sn.7,57.00,0
nstl.7,51.00,2
sntr.7,57.00,0
wetl.15,202.00,69
ewtr.13,95.00,18
ew.24,139.00,37
ew.25,123.00,28
ew.26,107.00,11
ns.7,72.00,9
ew.27,95.00,0
ew.28,79.00,0
nstr.7,94.00,5
sntl.7,95.00,0
we.41,235.00,130
we.42,232.00,121
we.43,222.00,116
we.44,219.00,109
ewtl.14,109.00,52
we.45,209.00,103
ewtl.15,76.00,22
wetr.16,237.00,123
ewtl.16,44.00,0
wetr.17,212.00,99
we.46,199.00,90
ewtr.14,121.00,52
wetl.16,245.00,115
we.47,198.00,88
we.48,197.00,95
wetr.18,199.00,95
wetl.17,222.00,94
sntr.8,71.00,7
ewtr.15,107.00,37
nstl.8,73.00,21
ewtr.16,76.00,9
sn.8,82.00,9
ew.29,138.00,37
ew.30,124.00,25
ew.31,108.00,14
ew.32,92.00,0
ns.8,96.00,23
bus1,253.00,136
nstr.8,107.00,22
sntl.8,116.00,10
we.49,250.00,148
we.50,246.00,145
ewtl.17,89.00,42
we.51,243.00,131
we.52,239.00,129
wetr.19,253.00,140
wetl.18,268.00,151
we.53,234.00,109
ewtl.18,60.00,8
wetl.19,257.00,136
we.54,228.00,103
wetr.20,237.00,108
we.55,224.00,105
we.56,217.00,101
ew.33,131.00,55
wetr.21,221.00,105
wetl.20,252.00,105
sntr.9,87.00,27
ewtr.17,124.00,50
ew.34,133.00,42
wetl.21,236.00,105
sn.9,98.00,30
nstl.9,92.00,35
ew.35,113.00,26
ew.36,100.00,12
ewtr.18,90.00,12
ns.9,112.00,43
nstl.10,49.00,0
ns.10,57.00,0
nstr.9,128.00,42
sntl.9,131.00,30
we.57,271.00,158
we.58,268.00,156
nstr.10,70.00,0
we.59,262.00,144
ewtl.19,110.00,55
wetr.22,270.00,154
we.60,259.00,141
ewtl.20,76.00,27
we.61,252.00,131
we.62,246.00,129
we.63,239.00,124
wetr.23,256.00,129
we.64,233.00,111
wetl.22,278.00,149
we.65,224.00,114
wetr.24,234.00,110
wetl.23,260.00,129
sntl.10,96.00,0
ew.37,157.00,61
ew.38,141.00,55
ewtr.19,136.00,69
wetl.24,244.00,116
sntr.10,105.00,34
ew.39,132.00,46
ew.40,115.00,28
ewtr.20,113.00,35
sn.10,125.00,34
sn.11,57.00,0
nstl.11,52.00,0
ew.41,119.00,26
ns.11,72.00,0
we.66,280.00,165
we.67,273.00,149
we.68,270.00,148
ewtl.21,124.00,62
we.69,263.00,146
nstr.11,90.00,0
sntl.11,92.00,0
wetr.25,287.00,154
ewtl.22,95.00,44
wetl.25,286.00,152
wetr.26,268.00,146
we.70,262.00,143
we.71,256.00,135
we.72,249.00,130
we.73,242.00,124
wetr.27,252.00,126
we.74,238.00,125
wetl.26,279.00,145
ew.42,155.00,63
wetr.28,240.00,120
ew.43,138.00,53
wetl.27,263.00,125
ew.44,130.00,46
ewtr.21,160.00,82
sntr.11,125.00,54
nstl.12,55.00,2
sn.12,63.00,0
sntr.12,63.00,0
ewtr.22,141.00,50
ns.12,78.00,7
nstr.12,96.00,5
sntl.12,99.00,0
we.75,288.00,168
we.76,286.00,159
we.77,278.00,150
we.78,274.00,143
we.79,270.00,143
ewtl.23,151.00,76
we.80,263.00,144
ewtl.24,117.00,55
we.81,254.00,136
wetl.28,310.00,172
we.82,250.00,137
wetl.29,288.00,146
wetr.29,294.00,150
wetr.30,268.00,142
ew.45,190.00,95
ew.46,175.00,81
wetl.30,277.00,140
wetr.31,258.00,118
ewtr.23,174.00,88
sntr.13,69.00,10
sn.13,79.00,13
ewtr.24,147.00,65
nstl.13,75.00,20
ew.47,175.00,63
ew.48,159.00,58
ns.13,105.00,17
nstr.13,106.00,18
sntl.13,108.00,16
we.83,301.00,178
we.84,303.00,174
we.85,298.00,170
ewtl.25,162.00,94
wetl.31,316.00,183
we.86,293.00,165
we.87,286.00,161
we.88,278.00,150
ewtl.26,132.00,61
ewtr.25,172.00,92
wetr.32,311.00,173
we.89,277.00,144
we.90,270.00,143
wetl.32,310.00,167
ewtl.27,103.00,51
ew.49,202.00,113
wetl.33,289.00,146
wetr.33,293.00,148
wetr.34,275.00,147
ew.50,192.00,98
ew.51,178.00,83
wetl.34,281.00,149
ew.52,165.00,63
sntr.14,88.00,25
nstl.14,91.00,39
sn.14,98.00,32
ewtr.26,168.00,72
ewtr.27,133.00,52
ew.53,163.00,56
ew.54,146.00,52
ns.14,114.00,42
nstl.15,49.00,0
nstr.14,126.00,40
ns.15,58.00,0
we.91,321.00,197
ewtl.28,141.00,78
we.92,317.00,194
sntl.14,143.00,22
we.93,316.00,192
we.94,310.00,181
ewtl.29,116.00,51
we.95,306.00,171
wetr.35,323.00,187
we.96,301.00,164
wetr.36,300.00,164
bus2,342.00,200
we.97,299.00,157
wetl.35,328.00,184
we.98,292.00,149
ew.55,189.00,99
wetr.37,293.00,152
ew.56,178.00,81
ew.57,164.00,67
wetl.36,320.00,157
ewtr.28,178.00,96
sntr.15,108.00,41
ew.58,152.00,51
sn.15,120.00,44
nstl.16,45.00,0
ewtr.29,154.00,60
ns.16,58.00,0
sn.16,58.00,0
sntr.16,64.00,0
nstr.15,153.00,56
sntl.15,155.00,43
nstr.16,84.00,0
we.99,346.00,200
we.100,341.00,196
ewtl.30,160.00,97
we.101,331.00,195
we.102,327.00,188
we.103,324.00,187
we.104,316.00,181
sntl.16,99.00,0
we.105,311.00,173
ewtl.31,137.00,63
wetl.37,366.00,202
we.106,304.00,169
wetr.38,342.00,194
ewtr.30,173.00,96
ewtl.32,101.00,48
wetl.38,344.00,190
we.107,300.00,167
wetr.39,329.00,178
wetl.39,327.00,174
wetr.40,310.00,171
ew.59,210.00,113
ew.60,196.00,98
wetl.40,315.00,169
nstl.17,51.00,2
ew.61,184.00,81
ew.62,168.00,66
sntr.17,54.00,0
bus3,52.00,0
ewtr.31,167.00,76
ewtr.32,130.00,55
ew.63,158.00,55
ns.17,69.00,11
sn.17,70.00,0
ew.64,140.00,48
we.108,355.00,214
nstr.17,101.00,3
we.109,347.00,205
sntl.17,103.00,0
ewtl.33,144.00,78
we.110,346.00,194
wetr.41,353.00,205
we.111,335.00,192
we.112,332.00,190
we.113,329.00,181
ewtl.34,120.00,49
we.114,321.00,180
wetr.42,338.00,189
wetl.41,364.00,199
we.115,313.00,175
wetr.43,320.00,181
we.116,306.00,173
we.117,302.00,172
wetl.42,348.00,183
ew.65,193.00,99
wetr.44,307.00,167
ew.66,176.00,82
sntr.18,67.00,8
wetl.43,336.00,174
nstl.18,72.00,20
ewtr.33,181.00,102
ew.67,170.00,65
sn.18,81.00,11
ew.68,154.00,51
ewtr.34,148.00,63
ns.18,95.00,24
nstr.18,115.00,22
we.118,358.00,210
sntl.18,123.00,5
ewtl.35,159.00,97
we.119,351.00,200
we.120,344.00,193
we.121,337.00,181
we.122,332.00,178
ewtl.36,134.00,64
wetr.45,351.00,190
we.123,328.00,175
wetl.44,380.00,214
we.124,323.00,174
ewtl.37,103.00,45
we.125,318.00,174
ew.69,202.00,110
wetr.46,340.00,180
ewtr.35,178.00,95
wetl.45,357.00,184
ewtl.38,78.00,19
ew.70,194.00,102
wetr.47,326.00,174
ewtr.36,154.00,63
wetl.46,351.00,175
wetl.47,328.00,180
sntr.19,89.00,21
nstl.19,90.00,42
ewtr.37,124.00,48
ewtr.38,91.00,20
sn.19,103.00,22
ns.19,107.00,45
ew.71,201.00,82
ew.72,185.00,65
ew.73,169.00,56
ew.74,152.00,46
ew.75,131.00,36
ew.76,119.00,24
nstl.20,45.00,0
ns.20,59.00,0
nstr.19,131.00,40
sntl.19,133.00,28
we.126,375.00,233
we.127,368.00,221
we.128,361.00,211
we.129,354.00,203
we.130,347.00,192
nstr.20,75.00,0
ewtl.39,111.00,51
wetr.48,364.00,209
ewtl.40,78.00,28
we.131,341.00,187
