vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
sn.0,62.00,0
sntr.0,57.00,0
ns.0,65.00,0
sn_bus.0,65.00,0
we.0,86.00,0
nstr.0,84.00,0
we.1,79.00,0
ewtl.0,88.00,37
ewtl.1,54.00,5
sntl.0,96.00,0
wetr.0,97.00,5
wetl.0,98.00,0
ewtr.0,107.00,37
ewtr.1,72.00,4
ew.0,125.00,41
nstl.1,49.00,0
ew.1,109.00,28
ew.2,93.00,9
ew.3,76.00,0
sn.1,58.00,0
ewtl.2,64.00,17
we.2,122.00,25
ns.1,69.00,0
we.3,111.00,22
we.4,109.00,20
wetr.1,123.00,25
we.5,102.00,15
ewtl.3,39.00,0
nstr.1,79.00,0
wetr.2,107.00,13
we.6,101.00,5
we.7,94.00,0
we.8,86.00,0
ewtr.2,81.00,14
wetl.1,134.00,23
we.9,80.00,0
wetr.3,90.00,0
wetl.2,117.00,13
ew.4,100.00,21
sntr.1,100.00,45
ewtr.3,65.00,0
wetl.3,103.00,0
ew.5,93.00,3
ew.6,77.00,0
nstl.2,42.00,0
ew.7,69.00,0
ns.2,64.00,0
we.10,119.00,26
we.11,109.00,22
ewtl.4,62.00,10
wetr.4,118.00,25
we.12,106.00,20
we.13,102.00,5
sntl.1,149.00,40
nstr.2,77.00,0
we.14,94.00,1
we.15,91.00,0
we.16,83.00,0
we.17,76.00,0
wetr.5,110.00,2
ewtl.5,49.00,0
wetl.4,134.00,22
wetr.6,87.00,0
ewtr.4,84.00,10
wetl.5,121.00,2
ew.8,102.00,13
wetl.6,99.00,0
ew_bus.0,90.00,0
ewtr.5,65.00,7
sntr.2,101.00,36
ew.9,87.00,0
sn.2,117.00,38
nstl.3,48.00,0
ew.10,93.00,0
ns.3,59.00,0
we.18,117.00,25
we.19,106.00,22
sntl.2,136.00,44
ewtl.6,64.00,11
we.20,104.00,18
wetr.7,117.00,24
we.21,97.00,12
wetl.7,120.00,23
ewtl.7,39.00,0
we.22,97.00,0
we.23,90.00,0
nstr.3,79.00,0
we.24,82.00,0
we.25,75.00,0
we.26,71.00,0
wetl.8,111.00,0
wetr.8,114.00,3
wetr.9,88.00,0
ewtr.6,89.00,20
wetl.9,95.00,0
sntr.3,97.00,39
ewtr.7,67.00,6
sn.3,110.00,42
nstl.4,46.00,0
ew.11,145.00,26
ns.4,56.00,0
ew.12,129.00,17
ew.13,113.00,2
ew.14,96.00,0
we.27,102.00,23
ew.15,80.00,0
ewtl.8,59.00,11
we.28,99.00,16
we.29,93.00,11
wetr.10,117.00,31
we.30,89.00,0
we.31,82.00,0
wetl.10,119.00,25
sntl.3,147.00,37
wetr.11,103.00,2
nstr.4,78.00,0
we.32,82.00,0
ewtl.9,45.00,0
wetl.11,108.00,0
ew.16,89.00,14
ewtr.8,83.00,19
we.33,84.00,0
we.34,78.00,0
wetr.12,96.00,0
ewtr.9,60.00,0
sntr.4,96.00,34
ew.17,88.00,0
sntr_bus.0,95.00,26
ew.18,73.00,0
wetl.12,103.00,0
sn.4,109.00,37
ew.19,74.00,0
ewtl.10,56.00,7
we.35,104.00,13
ns.5,63.00,0
we.36,99.00,11
we.37,92.00,10
wetr.13,118.00,19
we.38,87.00,1
we.39,80.00,0
wetr.14,96.00,9
wetl.13,119.00,14
sntl.4,144.00,36
we.40,79.00,0
ewtl.11,45.00,0
wetr.15,82.00,0
wetl.14,107.00,4
ewtr.10,83.00,19
we.41,82.00,0
nstr.5,89.00,0
ew.20,93.00,11
ew.21,78.00,0
