vehicleId,tripDuration,totalWaitingTime
nstl.0,42.00,0
ns.0,65.00,0
ewtl.0,67.00,16
ewtl.1,40.00,0
we.0,85.00,0
nstr.0,83.00,0
ewtr.0,82.00,16
we.1,79.00,0
wetr.0,89.00,0
ew.0,105.00,20
wetl.0,99.00,0
ew.1,89.00,7
sntr.0,102.00,39
ew.2,74.00,0
ewtr.1,69.00,7
sn.0,113.00,47
sn_bus.0,111.00,36
ew.3,68.00,0
nstl.1,46.00,0
sntr.1,48.00,0
sn.1,59.00,0
ns.1,69.00,0
sntl.0,145.00,45
nstr.1,78.00,0
we.2,138.00,42
ewtl.2,82.00,34
we.3,127.00,39
ewtl.3,47.00,1
we.4,126.00,36
we.5,118.00,30
wetr.1,144.00,43
wetr.2,123.00,29
wetl.1,144.00,39
we.6,118.00,22
we.7,111.00,16
we.8,103.00,17
sntl.1,104.00,0
we.9,99.00,10
wetr.3,106.00,11
wetl.2,135.00,29
ew.4,117.00,37
nstl.2,45.00,0
ewtr.2,120.00,47
wetl.3,121.00,11
ew.5,111.00,19
ew.6,95.00,5
ewtr.3,91.00,16
sntr.2,59.00,0
ew.7,85.00,10
ns.2,72.00,3
sn.2,72.00,0
nstr.2,84.00,2
sntl.2,96.00,0
we.10,154.00,54
we.11,144.00,52
ewtl.4,100.00,49
ewtl.5,65.00,13
we.12,139.00,52
we.13,137.00,41
wetr.4,165.00,61
we.14,135.00,34
we.15,130.00,34
wetl.4,168.00,53
ewtl.6,48.00,0
we.16,123.00,32
wetr.5,151.00,38
wetr.6,127.00,30
ewtr.4,128.00,54
ewtr.5,93.00,17
wetl.5,156.00,34
sntr.3,61.00,4
ew.8,140.00,51
ew_bus.0,128.00,39
ew.9,124.00,38
ewtr.6,65.00,5
nstl.3,67.00,12
sn.3,74.00,5
ns.3,85.00,21
ew.10,123.00,20
ew.11,127.00,3
ew.12,111.00,0
nstr.3,109.00,18
we.17,176.00,76
ewtl.7,76.00,31
sntl.3,113.00,3
ewtl.8,43.00,0
we.18,174.00,69
we.19,164.00,63
we.20,162.00,59
wetr.7,176.00,70
we.21,155.00,51
wetl.6,198.00,78
wetl.7,179.00,64
we.22,155.00,47
we.23,148.00,46
we.24,140.00,46
wetr.8,165.00,48
wetr.9,140.00,52
ew.13,129.00,51
ew.14,113.00,35
wetl.8,170.00,47
ew.15,97.00,19
ew.16,80.00,3
ewtr.7,114.00,50
sntr.4,78.00,17
ewtr.8,80.00,16
sntr_bus.0,78.00,9
sn.4,91.00,22
nstl.4,86.00,34
ns.4,99.00,39
nstr.4,119.00,34
sntl.4,127.00,17
we.25,193.00,101
we.26,186.00,95
ewtl.9,95.00,44
ewtl.10,61.00,12
we.27,179.00,87
we.28,176.00,76
we.29,169.00,70
wetr.10,194.00,92
wetl.9,212.00,103
we.30,166.00,64
wetl.10,196.00,89
we.31,160.00,58
wetr.11,178.00,63
we.32,154.00,48
ewtl.11,45.00,0
ewtr.9,121.00,55
wetl.11,186.00,63
wetr.12,163.00,54
ewtr.10,94.00,27
ew.17,156.00,60
ew.18,139.00,52
sntr.5,98.00,23
ew.19,121.00,33
ewtr.11,63.00,1
nstl.5,100.00,46
ew.20,107.00,20
sn.5,109.00,34
ew.21,93.00,5
ew.22,82.00,0
nstl.6,40.00,0
ns.5,120.00,51
sn.6,60.00,0
ns.6,61.00,0
nstr.5,143.00,50
ewtl.12,70.00,23
sntl.5,144.00,33
we.33,210.00,105
ewtl.13,37.00,0
we.34,203.00,104
we.35,199.00,95
we.36,193.00,95
we.37,187.00,93
wetl.12,228.00,109
wetr.13,212.00,100
we.38,183.00,81
we.39,175.00,77
wetr.14,190.00,90
we.40,169.00,66
wetl.13,215.00,99
nstr.6,96.00,0
sntl.6,98.00,0
wetr.15,164.00,69
wetl.14,202.00,83
ew.23,133.00,46
sntr.6,112.00,45
nstl.7,44.00,0
ewtr.12,117.00,43
ewtr.13,84.00,13
sn.7,54.00,0
ew.24,127.00,27
ew.25,111.00,15
ns.7,57.00,0
ew.26,95.00,0
sntr.7,57.00,0
nstr.7,82.00,0
we.41,219.00,113
sntl.7,90.00,0
we.42,221.00,110
we.43,213.00,106
ewtl.14,93.00,37
ewtl.15,60.00,5
we.44,209.00,103
we.45,201.00,102
wetr.16,225.00,112
we.46,195.00,94
we.47,192.00,92
wetr.17,206.00,100
wetl.15,245.00,116
ewtl.16,39.00,0
wetl.16,231.00,108
we.48,186.00,86
wetr.18,190.00,82
ewtr.14,119.00,47
wetl.17,222.00,94
ew.27,152.00,57
nstl.8,56.00,7
ew.28,135.00,47
ewtr.15,94.00,20
sntr.8,59.00,0
sn.8,67.00,0
ewtr.16,62.00,0
ew.29,129.00,28
ew.30,113.00,14
ew.31,96.00,3
ew.32,80.00,0
ns.8,83.00,9
nstr.8,94.00,8
sntl.8,101.00,0
we.49,240.00,139
ewtl.17,65.00,18
we.50,233.00,134
we_bus.0,236.00,124
ewtl.18,41.00,0
we.51,228.00,114
wetr.19,238.00,121
wetl.18,258.00,141
we.52,226.00,114
we.53,224.00,100
wetr.20,225.00,98
we.54,220.00,98
ewtr.17,87.00,17
we.55,213.00,97
ew.33,116.00,43
wetl.19,247.00,119
we.56,203.00,101
wetr.21,207.00,101
sntr.9,69.00,9
ew.34,112.00,20
ew.35,98.00,12
wetl.20,244.00,98
nstl.9,74.00,19
ew.36,82.00,0
ewtr.18,76.00,15
sn.9,82.00,14
ew.37,77.00,0
ns.9,97.00,27
nstr.9,112.00,26
sntl.9,116.00,13
we.57,253.00,147
ewtl.19,89.00,35
we.58,254.00,139
ewtl.20,55.00,5
wetr.22,254.00,136
we.59,248.00,126
we.60,244.00,126
we.61,237.00,117
wetl.21,274.00,149
we.62,230.00,110
we.63,223.00,105
wetr.23,241.00,112
we.64,219.00,92
wetl.22,264.00,134
wetr.24,221.00,92
wetl.23,245.00,112
ew.38,121.00,42
sntr.10,85.00,23
ewtr.19,122.00,57
ew.39,111.00,26
ew.40,95.00,9
ewtr.20,92.00,17
nstl.10,98.00,42
ns.10,108.00,45
sn.10,109.00,20
sn_bus.1,101.00,19
nstr.10,121.00,43
nstl.11,47.00,0
sntl.10,133.00,29
we.65,272.00,153
we.66,266.00,150
ns.11,71.00,0
ewtl.21,104.00,53
ewtl.22,69.00,20
we.67,260.00,143
we.68,256.00,143
wetl.24,287.00,157
we.69,248.00,144
wetl.25,273.00,146
wetr.25,276.00,150
we.70,247.00,134
we.71,241.00,122
we.72,234.00,114
ewtl.23,57.00,0
wetr.26,265.00,139
wetl.26,264.00,136
wetr.27,237.00,118
ew.41,161.00,67
ewtr.21,138.00,71
ew.42,145.00,53
ew.43,126.00,42
sntr.11,105.00,33
ew.44,112.00,26
sn.11,112.00,49
nstl.12,46.00,0
ewtr.22,121.00,33
sn.12,61.00,0
ns.12,64.00,0
nstr.11,149.00,54
sntl.11,151.00,47
we.73,286.00,165
we.74,284.00,162
ewtl.24,79.00,27
we.75,272.00,149
nstr.12,86.00,0
we.76,275.00,147
we.77,267.00,145
wetr.28,290.00,154
we.78,262.00,143
wetl.27,307.00,170
sntl.12,101.00,0
we.79,257.00,140
we.80,250.00,131
wetr.29,276.00,144
wetl.28,297.00,151
ewtl.25,71.00,12
wetl.29,277.00,141
wetr.30,255.00,130
ew.45,169.00,79
ew.46,154.00,66
ewtr.23,154.00,80
sntr.12,120.00,52
nstl.13,50.00,0
sn.13,59.00,0
ewtr.24,119.00,45
sntr.13,54.00,0
ew.47,152.00,51
ew.48,131.00,37
ns.13,83.00,0
nstr.13,83.00,0
sntl.13,88.00,0
we.81,300.00,186
ewtl.26,97.00,43
we.82,298.00,182
we.83,290.00,162
we.84,288.00,158
we.85,282.00,148
wetl.30,324.00,192
we.86,277.00,144
wetl.31,307.00,164
we.87,272.00,144
we.88,266.00,142
wetr.31,318.00,172
ewtl.27,88.00,27
wetl.32,292.00,146
wetr.32,295.00,148
ewtl.28,56.00,0
wetr.33,274.00,139
ew_bus.1,191.00,91
ew.49,189.00,88
sntr.14,62.00,0
ew.50,177.00,75
ewtr.25,172.00,83
ew.51,160.00,60
sntr_bus.1,58.00,0
ew.52,144.00,54
sn.14,73.00,8
nstl.14,70.00,15
ewtr.26,145.00,58
ns.14,90.00,18
nstr.14,102.00,17
we.89,323.00,199
we.90,316.00,192
we.91,307.00,179
sntl.14,119.00,0
wetl.33,335.00,201
we.92,305.00,176
we.93,297.00,168
ewtl.29,92.00,39
we.94,297.00,161
wetl.34,326.00,181
wetr.34,332.00,189
we.95,293.00,151
ewtl.30,66.00,11
wetr.35,312.00,169
ewtr.27,185.00,95
ew.53,211.00,105
wetl.35,321.00,161
sntr.15,80.00,14
ew.54,195.00,90
ewtr.28,153.00,66
ew.55,176.00,72
nstl.15,83.00,28
ew.56,162.00,58
sn.15,93.00,17
ewtr.29,123.00,37
ew.57,153.00,57
ns.15,101.00,37
ew.58,141.00,48
nstl.16,43.00,0
we.96,345.00,202
nstr.15,130.00,31
sntl.15,131.00,16
ewtl.31,97.00,44
we.97,344.00,198
we.98,337.00,198
wetr.36,354.00,202
ewtl.32,70.00,22
we.99,333.00,188
we.100,325.00,187
we.101,323.00,181
wetl.36,365.00,198
ewtl.33,45.00,0
ewtr.30,150.00,64
wetr.37,350.00,204
wetr.38,330.00,183
wetl.37,354.00,192
ew.59,184.00,85
ew.60,169.00,64
ew.61,155.00,50
ewtr.31,127.00,53
ew.62,138.00,49
wetl.38,340.00,178
sntr.16,97.00,29
ewtr.32,98.00,23
sn.16,104.00,40
ew.63,131.00,38
ew.64,115.00,24
ns.16,116.00,53
ew.65,104.00,10
nstl.17,44.00,0
ns.17,53.00,0
nstr.16,130.00,51
sntl.16,142.00,36
we.102,381.00,231
we.103,373.00,231
we.104,367.00,223
ewtl.34,76.00,21
we.105,360.00,211
ewtl.35,44.00,0
we.106,354.00,206
wetr.39,375.00,214
we.107,346.00,193
we.108,346.00,191
nstr.17,92.00,0
we.109,337.00,188
wetl.39,377.00,214
wetr.40,360.00,197
wetr.41,340.00,190
wetl.40,365.00,198
ew.66,143.00,53
ewtr.33,144.00,71
sntr.17,109.00,53
ew.67,136.00,49
ew.68,120.00,33
wetl.41,356.00,192
ewtr.34,113.00,40
nstl.18,44.00,0
sn.17,124.00,50
sntr.18,49.00,0
ns.18,66.00,0
sn.18,66.00,0
nstr.18,86.00,0
sntl.17,161.00,51
we.110,397.00,247
we.111,389.00,245
ewtl.36,90.00,40
we.112,383.00,237
we.113,379.00,225
we.114,371.00,219
ewtl.37,72.00,17
wetr.42,398.00,244
we.115,371.00,208
ewtr.35,144.00,66
sntl.18,112.00,0
we.116,367.00,200
wetl.42,398.00,230
wetr.43,380.00,217
ew.69,171.00,91
ewtl.38,49.00,0
ew.70,164.00,73
nstl.19,52.00,9
ewtr.36,124.00,47
ewtr.37,90.00,14
wetl.43,395.00,211
ewtr.38,58.00,0
sntr.19,58.00,0
ns.19,75.00,13
sn.19,76.00,0
ew.71,168.00,59
ew.72,151.00,51
ew.73,135.00,35
ew.74,119.00,18
ew.75,102.00,7
ew.76,87.00,0
we.117,417.00,250
nstr.19,100.00,11
sntl.19,105.00,0
ewtl.39,69.00,15
we.118,418.00,246
we.119,402.00,241
we.120,401.00,237
ewtl.40,42.00,0
wetr.44,433.00,255
we.121,397.00,231
we.122,393.00,229
wetr.45,406.00,233
wetr.46,393.00,224
wetl.44,440.00,247
we.123,389.00,222
wetl.45,412.00,232
we.124,385.00,227
we.125,379.00,212
wetr.47,379.00,213
wetl.46,401.00,222
ew.77,119.00,37
ew.78,107.00,28
ew.79,94.00,12
sntr.20,71.00,7
ew.80,78.00,0
